tconst	averageRating	numVotes
tt10515568	2.2	9
tt10520878	4.6	10
tt10520984	5.0	6
tt10544158	5.8	6
tt10545476	5.3	17
tt10556220	7.6	7
tt10556516	4.9	13
tt10564814	7.0	7
tt10568552	4.4	17
tt10578106	6.5	20
tt10582738	5.8	13
tt10583610	4.5	11
tt10585156	8.5	26
tt10590038	7.0	21
tt10590148	7.1	21
tt10590478	6.5	6
tt10592884	7.2	8
tt10594652	8.2	5
tt10607270	8.2	5
tt10613684	7.8	5
tt10615388	5.7	11
tt10644684	7.4	7
tt10673280	8.4	5
tt10675920	7.0	21
tt10690676	7.7	12
tt10697822	8.1	7
tt10700818	8.7	6
tt10712600	7.2	5
tt1072748	5.4	25989
tt10739102	7.4	5
tt10746674	3.0	14
tt10760928	4.3	10
tt10761334	9.5	13
tt1078896	5.7	7
tt10799014	8.2	5
tt10800568	2.4	8
tt10810730	5.9	18
tt1082807	6.1	39835
tt10846014	6.0	11
tt10858032	6.4	8
tt10865226	8.0	9
tt10886732	3.0	8
tt10895784	10.0	6
tt1091212	6.5	341
tt10942070	9.6	9
tt10976326	4.4	9
tt10984600	7.6	5
tt10986310	6.6	11
tt11018792	6.1	9
tt11142622	6.2	5
tt11197372	8.4	5
tt1124037	6.9	46677
tt11248618	9.6	5
tt1127881	5.5	322
tt11290014	10.0	7
tt1131724	5.8	17189
tt1131728	3.5	1460
tt1136822	6.7	47
tt1137450	6.4	54532
tt1139592	4.0	15624
tt1146918	6.9	30
tt1148205	4.8	459
tt1161457	3.8	150
tt1179933	7.2	268633
tt1183352	6.6	475
tt1183374	5.7	14453
tt1211837	7.5	541470
tt1212428	6.6	69532
tt1213641	7.3	139042
tt1219827	6.3	182943
tt1225856	5.6	626
tt1226736	8.8	6
tt1226837	7.3	37281
tt1227183	6.1	2458
tt1230168	6.6	4946
tt1233600	5.8	62
tt1235187	6.0	1928
tt1235192	5.5	8
tt1237836	7.3	6
tt1241317	4.5	69264
tt1243946	7.1	25
tt1255919	3.8	23692
tt1259528	7.0	75552
tt1262914	4.0	43
tt1270797	6.7	312449
tt1273219	3.7	231
tt1273221	4.3	3920
tt1285009	5.2	23566
tt1289401	5.2	192013
tt1289403	7.4	25562
tt1290138	5.9	4937
tt1291566	6.9	7928
tt1292566	6.1	76080
tt1293847	5.2	80138
tt1303871	4.7	42
tt1308728	5.4	20549
tt1312233	7.0	21
tt1312235	6.6	17
tt1316541	6.9	66
tt1318517	6.4	10833
tt1319706	5.3	6
tt1326219	4.2	36
tt1326264	6.4	115
tt1329350	4.4	56
tt1330018	6.0	3462
tt1331087	3.7	22
tt1337047	7.4	36
tt1337180	6.2	13
tt1338635	4.5	105
tt1339660	7.2	393
tt1346630	4.1	27
tt1350629	6.4	7
tt1352393	8.0	1303
tt1352771	5.6	45
tt1355631	7.0	63184
tt1355644	7.0	320752
tt1365519	6.3	172047
tt1366338	5.7	2010
tt1374989	5.8	47660
tt1379178	5.2	9
tt1380151	5.1	539
tt1386691	6.2	9244
tt1386697	6.0	554096
tt1389072	5.7	83125
tt1389098	6.1	685
tt1389139	5.1	5050
tt1396484	7.3	408245
tt1401621	6.9	720
tt1411956	6.8	1390
tt1412528	5.8	23849
tt1413492	6.6	54147
tt1431045	8.0	845855
tt1446113	6.7	35
tt1454700	7.3	564
tt1457764	6.0	30
tt1458169	5.9	30305
tt1458902	5.4	149
tt1461395	3.2	189
tt1464763	5.4	26808
tt1468846	5.3	19612
tt1468883	5.8	12
tt1469304	5.5	145506
tt1472460	5.6	577
tt1472584	4.6	17283
tt1473832	6.5	62343
tt1476425	5.3	1865
tt1477178	6.1	22
tt1477834	7.0	311395
tt1479690	7.9	27
tt1480285	4.4	3486
tt1485796	7.6	208509
tt1486189	5.5	50
tt1489889	6.3	144787
tt1492705	5.1	961
tt1493881	5.3	52
tt1496040	2.5	32
tt1502407	6.6	102255
tt1503790	7.8	6
tt1505839	3.0	37
tt1507571	5.8	1836
tt1508012	8.0	8
tt1517451	7.7	284195
tt1523320	8.3	47
tt1523575	3.4	155
tt1525916	6.8	177
tt1536537	6.9	89598
tt1540011	5.0	38294
tt1542768	5.9	17978
tt1544608	5.2	9229
tt1551633	6.3	28
tt1553659	6.8	2155
tt1558259	3.9	197
tt1563740	5.1	204
tt1563742	5.9	28649
tt1564777	5.4	12276
tt1571234	6.1	85366
tt1572169	4.5	55
tt1575538	8.2	5
tt1588878	5.2	7350
tt1590193	6.3	89240
tt1591031	6.4	60
tt1594972	3.4	8151
tt1595021	8.5	21
tt1595655	5.0	8
tt1608290	4.7	61163
tt1610525	6.5	4917
tt1615150	5.2	13
tt1615157	8.2	9
tt1615160	7.0	85982
tt1619029	6.7	67701
tt1620680	4.2	36925
tt1620935	6.8	22699
tt1626251	2.5	68
tt1628841	5.2	158363
tt1629763	7.6	22
tt1630657	4.8	60
tt1633217	6.5	527
tt1634140	6.4	11
tt1639084	6.7	15638
tt1640605	2.8	110
tt1642248	5.7	67
tt1648190	5.6	115713
tt1648199	4.9	378
tt1653665	7.1	21632
tt1655461	5.7	3011
tt1659198	5.9	25
tt1659217	8.9	10
tt1659619	6.6	4359
tt1661275	6.8	15859
tt1662500	7.0	2096
tt1662546	6.7	59
tt1665729	5.1	7
tt1665799	5.3	70
tt1666185	5.8	19277
tt1667321	6.3	7335
tt1668016	6.1	349
tt1674768	4.9	171
tt1677720	7.5	320181
tt1679335	6.5	64914
tt1680140	5.1	835
tt1682886	5.5	656
tt1690543	8.2	13
tt1690967	5.9	1654
tt1691152	7.2	4406
tt1691916	6.4	41021
tt1691924	2.8	162
tt1697973	6.1	71
tt1698655	4.0	125
tt1699518	6.6	4661
tt1700841	6.2	163645
tt1703957	6.6	16217
tt1711525	5.8	61127
tt1712192	6.4	10096
tt1712261	6.3	61704
tt1713440	6.9	5869
tt1714917	7.2	4313
tt1718924	6.5	8898
tt1720035	7.1	593
tt1720621	5.6	903
tt1723108	4.0	37
tt1724597	6.4	1861
tt1724970	5.3	16039
tt1725969	7.8	2436
tt1726870	5.4	7
tt1727497	6.4	949
tt1727824	8.0	392599
tt1730768	7.0	33568
tt1733729	4.0	150
tt1734493	6.2	25583
tt1737110	6.4	43
tt1740495	4.2	11
tt1740683	6.3	525
tt1742327	3.4	253
tt1753383	7.1	58504
tt1753786	4.2	1156
tt1754194	7.8	17
tt1754650	4.5	38
tt1754871	5.0	9
tt1758810	5.1	51450
tt1759744	5.7	1438
tt1764565	7.2	28
tt1764679	3.8	73
tt1770767	8.3	31
tt1772399	5.0	11
tt1773389	7.0	1711
tt1773467	4.1	458
tt1773753	5.1	5106
tt1774504	6.4	30
tt1774591	5.8	4673
tt1780790	3.7	138
tt1781058	5.8	9219
tt1781777	4.6	93
tt1781827	6.6	13465
tt1785288	5.4	1428
tt1785635	4.8	10976
tt1786503	3.6	74
tt1790809	6.6	237867
tt1791611	3.6	110
tt1794951	7.4	32
tt1796739	6.4	9
tt1798603	5.6	20577
tt1799516	6.4	3044
tt1800302	6.7	52110
tt1801552	4.8	11599
tt1802533	7.1	7
tt1806913	4.9	7344
tt1821657	5.9	547
tt1822260	8.8	9
tt1825683	7.3	551245
tt1826727	7.4	52
tt1826956	3.8	124
tt1836755	6.7	16
tt1837683	5.0	43
tt1838708	4.2	46
tt1842422	6.8	6
tt1843283	6.4	25
tt1843303	6.0	155
tt1843953	6.9	11
tt1844760	5.8	22
tt1846589	6.6	41685
tt1849772	6.2	52
tt1856101	8.0	399963
tt1858788	7.8	13
tt1860213	5.9	104880
tt1860357	7.1	137619
tt1863293	5.5	111
tt1869347	6.3	14622
tt1869491	5.5	477
tt1869785	6.9	12
tt1871361	8.9	8
tt1876466	4.2	32
tt1876476	4.3	34
tt1877707	2.8	362
tt1878841	4.4	12774
tt1878870	7.3	91829
tt1879017	8.5	27
tt1880399	6.8	9454
tt1880415	5.7	817
tt1884378	3.3	448
tt1885322	6.6	54
tt1885325	4.2	161
tt1887852	7.8	32
tt1890363	6.8	1869
tt1890370	5.7	7
tt1893269	7.2	593
tt1894487	4.0	5
tt1895315	7.1	31972
tt1901024	5.1	14503
tt1905047	7.5	11
tt1913036	7.2	26
tt1913080	4.6	32
tt1920885	7.1	3708
tt1922544	5.5	368
tt1928334	2.8	336
tt1929438	5.1	18
tt1934452	4.0	525
tt1935089	5.8	3159
tt1935194	5.4	10929
tt1935859	6.7	145098
tt1935897	4.8	11478
tt1937340	5.8	329
tt1945053	5.0	49
tt1945228	6.4	3667
tt1947969	2.9	108
tt1949605	4.9	1134
tt1954512	7.0	10
tt1959563	6.9	168961
tt1961175	6.2	60977
tt1966359	5.5	15323
tt1966385	5.5	1553
tt1967614	5.7	6191
tt1971310	3.2	317
tt1972591	6.7	175069
tt1974419	6.2	75662
tt1974420	5.7	8261
tt1977001	4.6	414
tt1977094	4.5	1100
tt1981128	5.3	83630
tt1982759	6.6	1150
tt1984261	7.1	35
tt1985949	6.3	73417
tt1987680	6.8	33879
tt1989632	6.5	76
tt1995390	6.2	18471
tt1995458	7.4	111
tt1996200	5.6	42
tt1998394	6.0	31
tt1999130	7.7	108
tt1999890	5.5	10811
tt1999929	7.2	8
tt2004365	7.6	8
tt2005151	7.1	160561
tt2006141	7.7	25
tt2008627	4.1	15
tt2009592	5.7	186
tt2011311	6.3	17255
tt2011936	5.9	659
tt2014271	6.9	30
tt2014341	5.8	24
tt2018069	5.3	4550
tt2018111	6.2	697
tt2024521	6.5	2463
tt2025690	6.7	57349
tt2027215	3.2	180
tt2032572	5.2	9991
tt2033298	7.9	196
tt2034176	4.2	2358
tt2034800	5.9	115603
tt2039338	5.2	36853
tt2039349	5.6	86
tt2039380	3.0	478
tt2039412	4.2	787
tt2042692	4.2	214
tt2043993	6.8	736
tt2044734	8.0	6
tt2044760	6.7	11
tt2050452	6.6	302
tt2056751	6.4	138
tt2057920	4.8	765
tt2060503	7.2	42
tt2062700	5.7	16308
tt2065938	5.7	53
tt2069797	5.7	5122
tt2070800	7.2	12
tt2071600	5.8	286
tt2072233	5.6	26774
tt2072934	7.4	19
tt2076826	4.5	311
tt2078718	5.3	3942
tt2081306	7.2	13
tt2081348	4.1	49
tt2081374	4.2	699
tt2087989	3.5	225
tt2088950	5.6	3582
tt2089664	6.3	26
tt2090465	6.1	10941
tt2091245	7.9	227
tt2091256	6.2	22898
tt2093174	8.8	8
tt2093991	6.4	12244
tt2094195	5.1	127
tt2094766	5.7	171325
tt2094825	3.4	215
tt2095670	5.2	14
tt2095768	7.7	241
tt2098669	3.9	157
tt2101347	7.2	82
tt2102508	6.8	711
tt2103278	8.4	17
tt2105055	5.4	20
tt2106616	2.7	110
tt2106651	6.3	45571
tt2106712	3.9	26
tt2112096	5.4	11192
tt2112902	7.0	20
tt2112982	4.5	23
tt2114504	4.1	2941
tt2119532	8.1	384005
tt2119543	6.0	37324
tt2122355	3.9	221
tt2125663	5.1	74
tt2126235	5.7	13819
tt2126284	6.6	8
tt2126357	5.8	16936
tt2128701	7.7	7
tt2132304	6.4	10
tt2132321	8.9	7
tt2134077	5.5	562
tt2137241	5.0	1770
tt2139573	4.1	26
tt2139847	8.2	10
tt2139869	5.1	73
tt2140479	7.3	240242
tt2140507	6.4	6129
tt2140629	5.7	5429
tt2142987	4.1	318
tt2149542	8.4	183
tt2150177	4.1	465
tt2160105	5.8	6406
tt2160125	4.2	59
tt2170427	6.1	8505
tt2172402	4.7	118
tt2174084	5.8	77
tt2175470	5.9	127
tt2179155	4.3	136
tt2179171	6.8	48
tt2179191	6.1	126
tt2179231	7.4	3942
tt2179237	2.3	152
tt2180317	3.0	359
tt2180351	7.3	733
tt2180583	5.5	28
tt2182065	6.0	18
tt2184233	6.3	2002
tt2184296	4.8	9
tt2186691	6.8	15
tt2186712	5.4	824
tt2186723	6.7	67
tt2188755	8.8	10
tt2190451	4.4	402
tt2193247	6.8	20
tt2196053	5.9	826
tt2197278	7.7	9
tt2197926	6.3	580
tt2201211	6.7	646
tt2205212	6.0	26
tt2205762	4.1	89
tt2207112	6.2	184
tt2209356	5.2	5
tt2212778	5.5	188
tt2213322	4.1	55
tt2214951	5.9	12
tt2215211	5.7	839
tt2215655	7.6	20
tt2216494	6.6	57
tt2219798	6.2	38
tt2221755	4.3	13
tt2222232	6.7	19
tt2222718	4.7	10
tt2226440	4.5	257
tt2226597	6.4	59744
tt2231210	6.2	12
tt2231457	6.2	286
tt2231461	6.1	123755
tt2233979	4.9	539
tt2236686	4.8	158
tt2237012	4.4	84
tt2237324	5.4	3731
tt2237914	6.3	35
tt2238032	5.7	17621
tt2238735	7.2	13
tt2238758	2.9	106
tt2239822	6.5	147191
tt2239876	6.4	50
tt2241351	6.5	88687
tt2243456	5.9	9
tt2243784	7.2	21
tt2243900	6.0	1421
tt2244102	2.9	11
tt2244838	7.6	20
tt2245119	3.8	77
tt2245924	8.9	7
tt2246567	7.3	33
tt2246809	6.1	36
tt2248665	6.7	42
tt2249039	6.4	477
tt2249081	5.9	1554
tt2249438	8.6	10
tt2250026	3.7	73
tt2250912	7.4	460468
tt2251106	6.4	70
tt2252270	5.9	7
tt2254324	7.1	14
tt2255893	8.6	5
tt2256570	4.9	108
tt2258058	8.6	25
tt2258351	4.4	7
tt2258724	6.5	21
tt2259122	6.3	796
tt2259908	5.5	32
tt2259968	6.0	211
tt2260254	2.3	583
tt2261287	6.8	17437
tt2261803	6.0	8
tt2262044	6.0	53
tt2262129	6.9	155
tt2262216	7.3	110
tt2262315	6.3	14548
tt2262518	5.3	473
tt2262716	4.6	76
tt2265631	9.1	33
tt2265651	5.9	118
tt2267524	7.7	10
tt2267578	2.5	630
tt2267968	7.1	120969
tt2268018	2.9	490
tt2268433	3.7	1384
tt2270456	3.7	93
tt2273307	6.0	5
tt2273401	6.9	9
tt2273621	6.4	5
tt2273648	4.7	357
tt2274158	4.5	13
tt2274752	4.1	137
tt2275505	6.4	22
tt2275702	8.7	30
tt2277834	5.6	939
tt2277860	7.3	220411
tt2278050	4.5	83
tt2278870	3.8	856
tt2281442	1.7	160
tt2283362	6.9	258945
tt2288107	6.6	10
tt2289098	5.6	377
tt2290473	3.1	178
tt2290819	4.3	57
tt2291540	6.2	13229
tt2292168	8.8	16
tt2293060	6.2	525
tt2296777	5.1	8730
tt2301045	6.1	32
tt2302416	7.1	314
tt2304933	5.2	92877
tt2306441	3.8	108
tt2306786	5.9	534
tt2306809	3.5	17
tt2310316	7.1	610
tt2312184	6.0	2095
tt2315582	6.2	8215
tt2315596	6.2	8737
tt2316204	6.4	234503
tt2316329	2.5	42
tt2316479	5.5	1790
tt2317088	7.2	96
tt2321405	7.8	18112
tt2321536	8.4	31
tt2324928	2.7	712
tt2328772	6.3	22
tt2328900	6.3	29603
tt2330973	4.6	363
tt2331047	6.2	13718
tt2331053	4.0	99
tt2331100	6.3	762
tt2331584	8.2	16
tt2334871	4.5	30970
tt2335096	9.0	24
tt2335444	7.0	105
tt2336014	6.0	8
tt2337841	5.4	4662
tt2338088	6.4	7
tt2338110	7.5	13
tt2338454	5.5	14711
tt2338774	7.1	516
tt2340142	7.0	10
tt2340946	1.2	10
tt2345759	5.5	160354
tt2347678	3.9	11
tt2349608	6.2	63
tt2349677	7.0	59
tt2349944	7.1	123
tt2351392	1.6	455
tt2351804	5.3	14
tt2353861	8.8	34
tt2353887	6.6	50
tt2355198	7.7	79
tt2355880	7.8	34
tt2359281	7.3	17
tt2359352	6.9	14
tt2360586	2.9	257
tt2361150	5.1	103
tt2361317	6.4	48528
tt2362790	7.9	234
tt2364673	7.0	617
tt2364690	5.2	30
tt2364897	3.9	8433
tt2368254	6.7	12288
tt2368606	4.8	482
tt2368619	6.3	32413
tt2370138	3.8	165
tt2370228	4.2	956
tt2370230	6.0	1353
tt2371365	6.4	178
tt2371900	5.2	8
tt2372251	5.1	10094
tt2374684	6.4	38
tt2375585	3.7	385
tt2375589	6.5	550
tt2377752	5.2	412
tt2378145	4.1	702
tt2378410	7.0	12
tt2378507	7.1	25476
tt2379673	4.4	13
tt2380307	8.4	305662
tt2381213	5.4	2005
tt2381650	8.8	17
tt2381991	6.1	90535
tt2382622	4.5	117
tt2385057	7.2	430
tt2385126	7.3	39
tt2385752	5.9	720
tt2386237	4.7	8298
tt2386588	6.2	132
tt2387499	5.9	53114
tt2387589	4.3	835
tt2387692	6.0	869
tt2387710	5.4	57
tt2388677	8.0	29
tt2388703	7.7	29
tt2388771	6.5	49361
tt2390882	5.9	21
tt2391072	8.1	37
tt2392748	4.7	2528
tt2392830	6.4	4751
tt2393937	6.0	22
tt2393941	7.3	31
tt2394029	7.3	225
tt2395207	5.3	23
tt2395271	4.8	20
tt2395339	5.0	2630
tt2396489	6.2	634
tt2396557	9.0	7
tt2396589	7.4	35638
tt2396653	7.7	11
tt2397617	6.2	59
tt2397902	8.0	8
tt2398010	6.3	6
tt2398241	6.0	16323
tt2398276	6.7	10
tt2399430	5.9	7
tt2400281	4.7	6
tt2400401	7.3	10
tt2401211	4.5	19
tt2401585	6.5	1761
tt2401817	6.1	14
tt2401825	6.4	763
tt2402114	6.7	63
tt2402578	4.9	48
tt2403945	5.2	26
tt2404203	7.1	9
tt2404233	5.4	97882
tt2404435	6.9	172758
tt2404639	6.3	3660
tt2406566	6.7	158473
tt2409518	4.5	185
tt2410290	8.3	181
tt2411144	5.1	1546
tt2413014	2.7	29
tt2413958	7.1	37
tt2417712	5.8	10648
tt2421910	3.7	164
tt2424812	6.9	15
tt2425866	2.4	574
tt2427150	8.6	14
tt2428822	8.9	17
tt2429278	4.3	213
tt2431448	4.0	48
tt2431458	7.9	8
tt2433118	6.6	149
tt2436682	5.8	8812
tt2436706	5.8	104
tt2441982	4.5	3122
tt2442620	6.0	100
tt2445568	6.0	1445
tt2445592	5.3	7
tt2446990	6.0	68
tt2447742	8.4	5
tt2447952	4.1	67
tt2448022	5.5	12
tt2448130	8.5	11
tt2449638	4.1	1896
tt2451902	6.1	12
tt2452386	7.3	50967
tt2457330	6.4	19
tt2457544	5.8	36
tt2458010	3.7	99
tt2458988	5.7	184
tt2459244	3.4	29
tt2460594	7.8	28
tt2461030	4.8	401
tt2461150	5.8	46622
tt2461340	6.8	2294
tt2462486	2.3	30
tt2463842	5.5	314
tt2464690	7.1	1082
tt2469200	3.4	196
tt2470060	6.9	22
tt2474838	4.0	22
tt2474932	5.8	2043
tt2476294	5.6	229
tt2482856	2.8	116
tt2484254	4.8	574
tt2486456	7.6	5
tt2486792	6.7	51
tt2487028	3.1	758
tt2489736	6.3	300
tt2490148	3.0	159
tt2490508	6.1	16
tt2492104	6.1	13
tt2492344	5.8	741
tt2495980	1.8	2558
tt2496758	5.8	519
tt2499358	4.7	37
tt2505304	5.6	7
tt2507306	8.0	26
tt2510016	7.5	34
tt2513074	6.2	19667
tt2515134	5.5	37
tt2515180	6.5	77
tt2515456	4.8	122
tt2516200	5.5	10
tt2516326	5.1	344
tt2516500	3.2	237
tt2516720	7.6	122
tt2516966	5.5	344
tt2517438	5.9	18
tt2518190	6.4	75
tt2520046	6.0	124
tt2523096	3.5	259
tt2523426	3.4	269
tt2525478	7.4	8
tt2527336	7.1	482896
tt2529396	9.1	27
tt2529940	6.2	12
tt2530316	4.5	160
tt2530452	4.7	20
tt2531318	7.8	10075
tt2531334	4.3	3611
tt2531344	6.2	61096
tt2534642	5.6	115
tt2535394	4.1	162
tt2536884	8.2	22
tt2538222	6.5	1507
tt2540136	6.0	21
tt2543164	7.9	536659
tt2543472	8.0	118835
tt2545384	3.9	318
tt2545538	4.2	560
tt2545652	5.4	14
tt2545936	4.0	184
tt2547584	7.2	47844
tt2548396	5.5	86802
tt2552684	7.2	60
tt2554842	3.3	447
tt2556114	5.8	1950
tt2556640	7.3	13
tt2556676	4.2	171
tt2557478	5.6	94263
tt2558996	4.1	104
tt2560792	5.9	4089
tt2564088	5.4	61
tt2565974	2.4	172
tt2567026	6.2	83101
tt2568862	6.6	69050
tt2570500	6.7	408
tt2570574	7.9	7
tt2571634	5.4	34
tt2571746	7.8	5
tt2574326	4.2	8
tt2574538	7.6	11
tt2581480	3.1	291
tt2582498	6.2	6523
tt2582500	4.7	11512
tt2582576	6.3	16105
tt2582782	7.6	183139
tt2582784	6.0	5646
tt2586120	6.4	3375
tt2589076	4.9	144
tt2592614	5.5	77278
tt2596158	6.8	6
tt2596368	4.6	53
tt2597342	7.4	7
tt2597760	5.5	3232
tt2597768	5.7	7217
tt2597892	5.5	7401
tt2604160	6.5	12
tt2606314	7.5	213
tt2609324	6.6	8
tt2610248	6.7	321
tt2614322	6.5	15
tt2614902	7.2	60
tt2615952	6.2	60
tt2616524	8.2	32
tt2619512	7.0	2346
tt2620590	5.0	17377
tt2623734	8.5	15
tt2624344	7.2	129
tt2626338	7.5	620
tt2628374	5.9	42
tt2629110	8.7	21
tt2630704	5.0	14
tt2630742	5.7	211
tt2632346	6.6	8
tt2634336	7.3	93
tt2634548	6.8	224
tt2636186	3.2	38
tt2636480	8.5	80
tt2638144	5.7	38877
tt2638900	6.6	240
tt2639336	6.0	17432
tt2641256	6.0	15
tt2642110	8.6	13
tt2642226	3.7	72
tt2644044	6.6	95
tt2644140	7.5	11
tt2649554	6.6	69449
tt2651724	2.6	151
tt2652118	6.1	16290
tt2652948	5.8	896
tt2654536	6.9	91
tt2657254	7.5	21
tt2657528	4.2	11
tt2657538	7.3	10
tt2658538	5.3	586
tt2658660	6.6	13
tt2660118	2.9	561
tt2660888	7.1	214448
tt2662710	6.8	209
tt2667380	5.7	12163
tt2667714	5.5	138
tt2669286	8.4	8
tt2670882	6.3	916
tt2671706	7.2	89760
tt2672052	2.9	107
tt2674358	5.5	6844
tt2674426	7.4	183881
tt2674430	4.8	7858
tt2674454	6.4	12530
tt2677064	5.9	1958
tt2677722	6.3	3498
tt2678212	7.8	20
tt2678510	9.1	21
tt2679552	5.4	13799
tt2690226	6.3	461
tt2690572	4.3	55
tt2690634	6.5	837
tt2692938	7.8	71
tt2693580	6.6	4170
tt2700194	3.1	143
tt2702724	5.4	40285
tt2703882	6.1	9
tt2704998	6.9	174328
tt2707722	6.1	48
tt2707810	5.6	923
tt2707842	3.2	15
tt2709692	6.3	34092
tt2709768	6.5	170212
tt2712758	4.5	338
tt2713980	7.7	11
tt2717718	8.1	12
tt2718028	3.7	198
tt2719752	3.1	42
tt2720826	5.4	6382
tt2721624	5.2	164
tt2721744	6.5	1462
tt2722504	5.7	904
tt2723788	8.2	25
tt2726536	6.3	11
tt2726552	5.3	6130
tt2728784	3.3	415
tt2728870	5.4	21
tt2731308	4.8	156
tt2736032	6.0	36
tt2736168	9.1	71
tt2736858	4.1	192
tt2737304	6.6	237846
tt2741724	4.4	10
tt2749334	5.6	50
tt2749796	7.9	11
tt2751140	2.6	463
tt2759338	3.8	253
tt2760020	5.9	39
tt2761150	4.0	34
tt2762662	5.2	520
tt2763304	7.2	101507
tt2766104	5.2	610
tt2766804	4.2	68
tt2767366	4.8	100
tt2767880	6.4	10
tt2769828	4.0	1631
tt2771200	7.2	248356
tt2771252	7.9	10
tt2773246	6.6	800
tt2776800	8.8	6
tt2776878	6.5	10647
tt2780220	8.2	10
tt2780498	6.6	5
tt2781612	4.7	49
tt2782692	6.9	3480
tt2782844	5.5	3030
tt2783674	6.4	18
tt2783862	3.2	566
tt2783926	5.5	173
tt2784020	5.3	104
tt2784914	6.0	6
tt2786354	7.0	6
tt2786524	5.7	9
tt2787302	6.7	2246
tt2787570	6.3	788
tt2788684	7.0	10
tt2788732	6.7	50459
tt2791132	9.4	5
tt2794684	4.1	158
tt2795480	4.8	5
tt2797930	3.9	15
tt2798920	6.9	244403
tt2800050	7.4	975
tt2800340	6.4	3463
tt2801158	5.7	6
tt2802062	4.2	141
tt2802160	5.6	13
tt2803314	6.8	12
tt2806390	5.8	418
tt2807580	7.3	46
tt2814628	6.0	110
