id,age,healthy_eating,active_lifestyle,salary,months_of_exp,sex
206,20,6,2,3574,227.0,female
207,58,9,6,4390,346.0,male
208,23,9,3,5086,337.0,male
209,37,6,7,2414,174.0,female
210,39,4,6,1484,142.0,female
211,22,8,8,3345,342.0,female
212,22,9,2,5318,359.0,male
213,50,6,6,2646,176.0,male
214,25,3,1,2062,222.0,male
215,61,9,9,3694,290.0,female
216,18,4,8,1020,170.0,male
217,53,4,8,1020,174.0,male
218,37,0,4,1478,68.0,male
219,38,5,8,1601,225.0,female
220,50,4,4,1948,253.0,female
221,59,5,2,2993,238.0,female
222,23,3,4,1366,126.0,female
223,32,7,6,3228,336.0,female
224,40,8,9,3113,244.0,male
225,47,4,5,1716,44.0,female
226,26,3,6,902,8.0,male
227,24,5,3,2761,134.0,female
228,54,7,6,3228,182.0,female
229,41,6,7,2414,227.0,male
230,58,2,7,1011,11.0,male
231,50,7,7,2996,170.0,female
232,29,3,7,670,5.0,male
233,55,3,4,1366,175.0,male
234,64,5,5,2297,85.0,female
235,23,4,5,1716,224.0,male
236,55,5,6,2065,107.0,female
237,49,4,4,1948,150.0,female
238,40,2,9,1475,146.0,male
239,50,7,6,3228,202.0,male
240,63,1,8,1824,58.0,male
241,43,3,3,1598,229.0,female
242,48,4,1,2643,203.0,male
243,30,3,3,1598,229.0,male
244,63,4,9,788,73.0,male
245,64,6,6,2646,296.0,male
246,59,1,2,667,19.0,male
247,33,3,3,1598,177.0,male
248,62,4,3,2179,133.0,female
249,60,3,7,670,53.0,female
250,60,5,3,2761,159.0,male
251,35,8,6,3809,296.0,male
252,24,5,3,2761,198.0,female
253,29,4,6,1484,61.0,male
254,18,4,5,1716,132.0,male
255,25,7,3,3923,220.0,male
256,57,4,5,1716,55.0,female
257,28,6,2,3574,208.0,female
258,44,6,2,3574,351.0,female
259,53,6,6,2646,137.0,female
260,63,6,8,2182,97.0,male
261,44,4,5,1716,157.0,male
262,58,5,9,1369,133.0,female
263,20,3,9,894,105.0,male
264,24,3,1,2062,213.0,female
265,25,5,6,2065,110.0,male
266,46,8,6,3809,228.0,female
267,57,4,3,2179,141.0,female
268,57,4,7,1252,94.0,female
269,36,7,3,3923,265.0,male
270,51,10,4,5435,360.0,male
271,59,3,4,1366,143.0,male
272,21,6,6,2646,187.0,male
273,41,9,4,4854,358.0,male
274,33,9,3,5086,319.0,female
275,57,7,6,3228,177.0,male
276,47,3,6,902,138.0,female
277,41,5,7,1833,211.0,female
278,58,5,9,1369,24.0,male
279,50,4,9,788,6.0,male
280,54,6,4,3110,151.0,female
281,52,5,6,2065,104.0,female
282,54,6,2,3574,271.0,female
283,35,7,3,3923,324.0,female
284,18,2,4,785,95.0,male
285,45,6,8,2182,261.0,female
286,58,6,7,2414,264.0,male
287,25,4,1,2643,128.0,female
288,19,5,5,2297,87.0,female
289,27,4,4,1948,192.0,male
290,43,6,6,2646,162.0,female
291,23,6,4,3110,283.0,male
292,39,4,7,1252,88.0,male
293,41,9,6,4390,358.0,male
294,37,8,5,4041,357.0,female
295,52,2,10,1707,94.0,male
296,52,4,4,1948,241.0,male
297,44,4,1,2643,168.0,male
298,33,1,9,2056,102.0,male
299,43,4,8,1020,164.0,female
300,19,5,4,2529,246.0,male
301,21,5,4,2529,258.0,male
302,37,4,5,1716,60.0,female
303,46,3,7,670,54.0,female
304,50,4,7,1252,113.0,female
305,37,3,6,902,71.0,male
306,30,5,8,1601,90.0,female
307,37,4,5,1716,102.0,female
308,49,6,4,3110,298.0,male
309,19,6,7,2414,168.0,female
310,42,9,7,4158,254.0,female
311,62,3,10,1126,14.0,female
312,42,8,3,4505,293.0,female
313,21,5,9,1369,92.0,female
314,25,1,4,896,25.0,male
315,33,3,3,1598,35.0,female
316,20,4,3,2179,156.0,female
317,59,7,7,2996,292.0,female
318,62,4,8,1020,68.0,female
319,22,5,3,2761,243.0,male
320,40,8,9,3113,180.0,female
321,50,7,6,3228,217.0,male
322,62,3,8,662,155.0,female
323,33,5,9,1369,140.0,male
324,23,8,8,3345,340.0,male
325,51,5,7,1833,229.0,female
326,36,5,9,1369,182.0,male
327,61,4,5,1716,141.0,female
328,60,4,7,1252,202.0,male
329,56,2,7,1011,29.0,male
330,58,6,6,2646,220.0,male
331,20,0,5,1710,166.0,male
332,60,6,4,3110,281.0,male
333,46,4,7,1252,59.0,male
334,55,4,7,1252,167.0,male
335,61,9,5,4622,358.0,female
336,28,6,5,2878,272.0,male
337,44,8,4,4273,358.0,female
338,54,5,7,1833,96.0,male
339,35,10,9,4276,358.0,female
340,62,0,5,1710,50.0,female
341,28,7,4,3691,262.0,female
342,42,4,7,1252,184.0,male
343,53,2,5,553,147.0,male
344,25,5,7,1833,246.0,male
345,57,5,3,2761,316.0,female
346,60,5,8,1601,91.0,female
347,34,3,5,1134,79.0,male
348,19,5,6,2065,235.0,male
349,49,7,5,3460,177.0,female
350,35,5,6,2065,115.0,male
351,55,5,0,3457,226.0,female
352,63,3,5,1134,15.0,female
353,46,7,7,2996,145.0,female
354,55,5,6,2065,138.0,male
355,29,3,5,1134,164.0,female
356,28,4,4,1948,253.0,male
357,46,1,7,1592,197.0,female
358,58,7,6,3228,184.0,female
359,28,3,6,902,55.0,female
360,31,4,7,1252,19.0,male
361,56,5,3,2761,227.0,male
362,43,5,10,1137,117.0,female
363,26,4,3,2179,165.0,male
364,46,1,4,896,172.0,female
365,41,5,7,1833,211.0,male
366,50,5,7,1833,63.0,female
367,58,4,3,2179,133.0,male
368,56,5,5,2297,145.0,male
369,49,7,6,3228,250.0,female
370,20,8,6,3809,242.0,female
371,31,2,4,785,9.0,female
372,61,5,10,1137,108.0,male
373,54,6,5,2878,320.0,female
374,23,7,8,2764,213.0,male
375,53,5,7,1833,105.0,female
376,62,3,6,902,164.0,female
377,47,3,8,662,4.0,male
378,43,2,3,1017,176.0,male
379,30,4,5,1716,113.0,female
380,36,7,3,3923,356.0,female
381,48,6,5,2878,271.0,male
382,61,6,7,2414,168.0,male
383,45,3,9,894,150.0,female
384,33,4,7,1252,142.0,male
385,31,5,7,1833,205.0,male
386,20,3,5,1134,16.0,male
387,55,5,5,2297,140.0,female
388,24,6,5,2878,300.0,female
389,46,6,5,2878,295.0,male
390,52,7,1,4387,358.0,female
391,56,3,7,670,5.0,male
392,62,4,7,1252,156.0,female
393,58,2,6,779,6.0,male
394,42,6,7,2414,224.0,female
395,53,7,3,3923,356.0,male
396,18,8,9,3113,302.0,male
397,62,8,7,3577,254.0,female
398,38,6,4,3110,335.0,male
399,60,3,5,1134,15.0,male
400,49,7,8,2764,131.0,male
401,18,5,8,1601,217.0,female
402,28,6,5,2878,184.0,female
403,22,6,7,2414,254.0,male
404,27,7,5,3460,347.0,male
405,42,3,5,1134,36.0,male
406,31,6,5,2878,139.0,male
407,19,6,2,3574,283.0,female
408,25,2,5,553,3.0,male
409,18,4,8,1020,55.0,male
410,34,3,3,1598,85.0,male
411,44,6,8,2182,125.0,male
412,42,7,3,3923,356.0,male
413,46,6,8,2182,263.0,female
414,35,5,8,1601,144.0,female
415,53,1,10,2288,145.0,female
416,30,2,5,553,3.0,male
417,60,4,3,2179,216.0,male
418,22,3,3,1598,70.0,female
419,58,6,9,1950,222.0,female
420,47,5,4,2529,173.0,female
421,33,3,6,902,8.0,male
422,64,4,7,1252,154.0,male
423,47,2,5,553,4.0,male
424,56,3,0,2294,230.0,female
425,30,3,6,902,8.0,male
426,43,8,8,3345,257.0,male
427,32,7,4,3691,352.0,male
428,31,5,6,2065,265.0,female
429,48,6,7,2414,277.0,female
430,23,4,3,2179,188.0,female
431,21,4,6,1484,86.0,female
432,51,4,9,788,77.0,male
433,18,6,4,3110,206.0,female
434,34,5,4,2529,109.0,male
435,41,7,5,3460,228.0,female
436,24,3,6,902,175.0,male
437,51,6,7,2414,187.0,male
438,56,4,5,1716,47.0,female
439,56,4,7,1252,35.0,male
440,46,3,5,1134,39.0,female
441,24,2,2,1249,23.0,female
442,63,5,2,2993,319.0,male
443,64,6,8,2182,99.0,female
444,45,1,8,1824,150.0,male
445,57,4,5,1716,223.0,male
446,36,6,7,2414,204.0,female
447,54,3,4,1366,173.0,female
448,61,2,5,553,148.0,female
449,50,6,7,2414,198.0,male
450,28,6,7,2414,110.0,male
451,62,7,3,3923,222.0,male
452,24,5,7,1833,123.0,female
453,53,6,3,3342,259.0,female
454,30,2,3,1017,11.0,female
455,29,5,8,1601,212.0,female
456,18,8,9,3113,315.0,female
457,58,2,1,1481,77.0,male
458,55,0,4,1478,206.0,female
459,32,6,3,3342,300.0,male
460,60,5,9,1369,137.0,female
461,22,3,6,902,175.0,female
462,27,4,5,1716,150.0,male
463,39,6,7,2414,186.0,female
464,23,2,7,1011,11.0,female
465,21,6,6,2646,283.0,female
466,51,7,6,3228,266.0,male
467,34,6,5,2878,267.0,male
468,35,2,5,553,53.0,female
469,54,5,5,2297,144.0,male
470,63,3,7,670,23.0,female
471,39,3,5,1134,187.0,female
472,19,7,6,3228,312.0,female
473,59,5,7,1833,109.0,male
474,38,5,5,2297,166.0,male
475,18,8,6,3809,230.0,male
476,49,1,7,1592,202.0,male
477,26,8,6,3809,355.0,male
478,56,6,4,3110,207.0,male
479,52,3,5,1134,41.0,female
480,23,4,4,1948,184.0,male
481,48,6,6,2646,208.0,female
482,21,8,5,4041,357.0,female
483,45,3,6,902,133.0,male
484,32,6,2,3574,351.0,male
485,19,4,3,2179,163.0,female
486,31,2,4,785,6.0,male
487,58,3,1,2062,182.0,female
488,35,8,8,3345,344.0,male
489,34,3,4,1366,28.0,female
490,24,7,1,4387,281.0,male
491,54,8,6,3809,307.0,male
492,44,6,9,1950,58.0,female
493,59,3,6,902,55.0,female
494,61,7,4,3691,214.0,male
495,33,7,7,2996,306.0,male
496,47,4,2,2411,136.0,female
497,50,4,7,1252,29.0,male
498,35,6,8,2182,187.0,female
499,62,6,8,2182,256.0,female
500,38,7,3,3923,350.0,female
501,45,7,6,3228,200.0,female
502,21,7,6,3228,181.0,female
503,29,7,6,3228,340.0,male
504,42,5,4,2529,111.0,male
505,47,5,5,2297,229.0,male
506,53,2,8,1243,201.0,female
507,42,4,2,2411,137.0,male
508,64,3,7,670,153.0,male
509,29,4,1,2643,191.0,female
510,22,8,8,3345,299.0,male
511,23,4,3,2179,188.0,female
512,48,4,6,1484,136.0,female
513,37,0,4,1478,84.0,male
514,30,6,0,4038,357.0,female
515,23,4,2,2411,163.0,female
516,32,8,8,3345,344.0,male
517,34,3,7,670,99.0,female
518,41,8,8,3345,217.0,male
519,21,4,5,1716,238.0,female
520,57,7,6,3228,161.0,male
521,42,7,4,3691,232.0,female
522,51,2,4,785,108.0,male
523,43,8,7,3577,267.0,female
524,47,4,5,1716,182.0,female
525,33,9,6,4390,348.0,male
526,40,10,6,4972,359.0,female
527,43,3,7,670,112.0,female
528,62,3,6,902,64.0,male
529,22,2,9,1475,169.0,male
530,19,5,6,2065,133.0,female
531,34,7,7,2996,324.0,male
532,30,7,3,3923,245.0,female
533,19,5,4,2529,154.0,male
534,63,5,10,1137,117.0,female
535,24,7,4,3691,229.0,male
536,48,4,7,1252,147.0,female
537,53,7,5,3460,329.0,male
538,53,8,7,3577,261.0,female
539,58,5,3,2761,140.0,female
540,55,1,5,1128,14.0,female
541,50,4,8,1020,174.0,male
542,37,4,8,1020,150.0,female
543,27,6,6,2646,212.0,female
544,51,4,7,1252,53.0,female
545,27,5,5,2297,95.0,male
546,22,3,5,1134,93.0,male
547,18,8,7,3577,275.0,male
548,44,5,9,1369,130.0,female
549,62,6,6,2646,182.0,female
550,49,4,6,1484,106.0,male
551,43,5,4,2529,299.0,female
552,22,6,6,2646,177.0,female
553,27,3,5,1134,101.0,male
554,22,3,10,1126,27.0,female
555,55,4,7,1252,19.0,male
556,27,3,4,1366,83.0,female
557,30,5,5,2297,128.0,male
558,46,6,8,2182,76.0,female
559,18,6,6,2646,186.0,female
560,57,8,5,4041,278.0,male
561,29,5,6,2065,69.0,male
562,19,6,1,3806,253.0,male
563,35,5,6,2065,69.0,female
564,44,4,7,1252,74.0,female
565,38,5,4,2529,203.0,male
566,37,6,10,1718,62.0,male
567,39,8,6,3809,297.0,female
568,47,4,5,1716,140.0,female
569,42,6,2,3574,349.0,male
570,52,5,5,2297,159.0,female
571,28,3,3,1598,77.0,female
572,33,0,7,2174,158.0,male
573,20,5,5,2297,122.0,female
574,23,2,5,553,76.0,male
575,21,3,3,1598,97.0,male
576,33,6,5,2878,197.0,male
577,28,4,6,1484,70.0,male
578,18,2,3,1017,71.0,male
579,54,4,9,788,92.0,female
580,50,6,5,2878,173.0,male
581,50,5,1,3225,252.0,female
582,48,4,8,1020,162.0,male
583,34,6,5,2878,137.0,female
584,37,8,7,3577,349.0,male
585,27,4,8,1020,55.0,female
586,22,8,10,2881,256.0,female
587,51,4,9,788,161.0,male
588,26,4,5,1716,164.0,male
589,30,8,3,4505,303.0,male
590,45,6,5,2878,319.0,female
591,58,2,6,779,16.0,male
592,55,4,4,1948,115.0,female
593,24,7,6,3228,263.0,female
594,62,7,6,3228,267.0,male
595,45,5,6,2065,92.0,male
596,51,7,6,3228,244.0,female
597,49,5,7,1833,141.0,male
598,64,5,6,2065,257.0,female
599,55,4,4,1948,115.0,male
600,20,4,6,1484,158.0,female
601,20,4,6,1484,218.0,female
602,31,5,6,2065,252.0,male
603,23,7,6,3228,225.0,male
604,31,5,6,2065,134.0,male
605,28,1,5,1128,167.0,female
606,51,0,7,2174,77.0,female
607,44,9,1,5550,359.0,male
608,30,3,4,1366,24.0,female
609,63,8,7,3577,187.0,female
610,45,3,6,902,175.0,male
611,43,2,5,553,6.0,female
612,53,2,9,1475,157.0,female
613,42,3,5,1134,85.0,female
614,62,6,0,4038,228.0,female
615,54,5,8,1601,61.0,female
616,46,4,7,1252,177.0,male
617,25,4,7,1252,113.0,male
618,62,5,9,1369,195.0,male
619,30,4,8,1020,20.0,male
620,32,4,5,1716,75.0,female
621,30,4,6,1484,113.0,male
622,51,5,7,1833,114.0,male
623,46,3,5,1134,15.0,female
624,34,4,2,2411,219.0,female
625,37,0,8,2406,223.0,male
626,59,3,3,1598,95.0,male
627,51,2,7,1011,102.0,male
628,29,3,5,1134,47.0,male
629,38,4,4,1948,175.0,male
630,57,4,0,2875,313.0,female
631,38,7,3,3923,263.0,female
632,31,4,5,1716,59.0,male
633,31,7,7,2996,268.0,male
634,32,8,5,4041,342.0,female
635,34,2,8,1243,19.0,male
636,41,7,6,3228,243.0,female
637,54,8,9,3113,223.0,female
638,58,5,9,1369,134.0,male
639,19,2,4,785,65.0,female
640,54,0,5,1710,49.0,male
641,44,4,8,1020,95.0,female
642,42,6,6,2646,113.0,male
643,37,6,7,2414,125.0,male
644,42,2,7,1011,149.0,female
645,29,6,6,2646,193.0,male
646,41,7,7,2996,172.0,female
647,40,1,5,1128,110.0,male
648,43,8,4,4273,350.0,male
649,58,4,3,2179,159.0,female
650,60,2,4,785,62.0,female
651,30,0,6,1942,136.0,male
652,62,7,3,3923,350.0,male
653,55,3,6,902,48.0,male
654,19,4,7,1252,86.0,male
655,52,4,2,2411,132.0,male
656,40,6,0,4038,305.0,male
657,20,2,6,779,6.0,female
658,26,5,4,2529,175.0,male
659,29,6,3,3342,267.0,female
660,51,7,7,2996,283.0,male
661,38,4,1,2643,179.0,female
662,59,9,5,4622,268.0,male
663,55,4,4,1948,123.0,male
664,48,6,7,2414,194.0,female
665,53,2,4,785,145.0,female
666,57,5,5,2297,158.0,female
667,25,8,6,3809,355.0,female
668,28,3,6,902,61.0,male
669,62,7,8,2764,174.0,male
670,37,10,6,4972,308.0,female
671,37,8,7,3577,298.0,male
672,50,5,7,1833,207.0,male
673,49,7,6,3228,325.0,female
674,46,8,4,4273,296.0,female
675,52,5,7,1833,92.0,female
676,30,3,5,1134,34.0,female
677,50,7,7,2996,207.0,male
678,51,5,8,1601,116.0,female
679,50,5,6,2065,73.0,male
680,41,5,7,1833,140.0,male
681,30,5,9,1369,26.0,female
682,34,2,3,1017,183.0,female
683,22,4,4,1948,155.0,male
684,19,5,2,2993,321.0,male
685,62,3,7,670,110.0,male
686,29,4,3,2179,74.0,male
687,33,6,6,2646,187.0,male
688,19,6,6,2646,256.0,male
689,40,7,5,3460,244.0,female
690,44,3,5,1134,78.0,male
691,61,4,8,1020,172.0,male
692,28,3,6,902,50.0,male
693,60,5,9,1369,43.0,male
694,34,4,7,1252,178.0,female
695,45,6,6,2646,135.0,male
696,62,5,5,2297,118.0,male
697,32,6,9,1950,253.0,male
698,48,3,6,902,170.0,male
699,41,2,6,779,117.0,male
700,29,3,4,1366,40.0,male
701,64,6,5,2878,193.0,male
702,30,5,6,2065,76.0,female
703,61,5,7,1833,85.0,male
704,57,4,1,2643,111.0,female
705,26,5,5,2297,156.0,male
706,64,2,3,1017,49.0,male
707,25,7,3,3923,356.0,female
708,26,5,4,2529,149.0,male
709,42,2,4,785,79.0,male
710,61,7,6,3228,173.0,female
711,25,5,4,2529,200.0,male
712,28,4,4,1948,180.0,female
713,23,6,7,2414,190.0,female
714,52,8,5,4041,220.0,female
715,46,5,8,1601,144.0,female
716,54,7,6,3228,321.0,male
717,63,1,3,665,65.0,male
718,32,5,6,2065,147.0,female
719,54,3,7,670,92.0,female
720,50,5,8,1601,148.0,male
721,62,2,5,553,66.0,female
722,36,5,9,1369,146.0,female
723,33,5,5,2297,279.0,female
724,32,7,5,3460,204.0,female
725,60,5,9,1369,101.0,female
726,26,4,1,2643,136.0,male
727,54,3,7,670,96.0,female
728,51,2,8,1243,46.0,female
729,46,5,8,1601,214.0,male
730,49,7,10,2300,201.0,female
731,48,2,8,1243,43.0,male
732,28,6,4,3110,209.0,male
733,36,5,7,1833,238.0,male
734,33,8,8,3345,334.0,male
735,37,7,7,2996,315.0,male
736,28,6,3,3342,234.0,female
737,22,8,4,4273,358.0,female
738,24,5,9,1369,121.0,female
739,27,6,6,2646,216.0,male
740,20,8,5,4041,218.0,female
741,40,5,6,2065,68.0,female
742,33,9,4,4854,359.0,female
743,53,5,4,2529,239.0,male
744,63,5,7,1833,129.0,female
745,33,3,6,902,8.0,female
746,38,6,6,2646,193.0,male
747,28,5,3,2761,262.0,female
748,52,1,6,1360,200.0,female
749,56,7,8,2764,262.0,male
750,35,6,7,2414,97.0,female
751,35,3,8,662,4.0,female
752,48,7,7,2996,137.0,male
753,41,5,7,1833,99.0,female
754,21,5,5,2297,106.0,male
755,39,6,5,2878,258.0,female
756,47,3,7,670,10.0,male
757,35,6,9,1950,213.0,male
758,41,4,9,788,150.0,male
759,41,0,7,2174,132.0,male
760,57,7,7,2996,328.0,female
761,21,2,4,785,6.0,male
762,24,5,5,2297,101.0,female
763,49,6,10,1718,156.0,female
764,53,4,5,1716,149.0,male
765,52,7,4,3691,311.0,female
766,60,4,7,1252,180.0,female
767,25,5,6,2065,250.0,female
768,49,4,8,1020,42.0,male
769,39,5,4,2529,248.0,male
770,23,8,5,4041,357.0,male
771,37,7,9,2532,154.0,female
772,31,5,8,1601,148.0,female
773,29,8,8,3345,309.0,female
774,61,3,6,902,8.0,male
775,52,6,9,1950,201.0,male
776,34,5,7,1833,204.0,female
777,26,1,6,1360,105.0,male
778,20,3,6,902,40.0,male
779,59,4,7,1252,76.0,male
780,35,7,3,3923,300.0,male
781,37,6,6,2646,284.0,female
782,18,5,7,1833,52.0,male
783,35,5,9,1369,162.0,female
784,60,4,7,1252,25.0,male
785,31,3,4,1366,24.0,female
786,25,3,4,1366,24.0,male
787,39,5,7,1833,171.0,male
788,50,6,7,2414,284.0,male
789,40,2,6,779,141.0,female
790,58,8,8,3345,344.0,female
791,18,7,3,3923,290.0,female
792,40,6,6,2646,118.0,female
793,40,4,6,1484,191.0,female
794,42,5,6,2065,139.0,female
795,42,6,5,2878,248.0,female
796,25,6,5,2878,136.0,female
797,53,6,8,2182,222.0,male
798,40,6,7,2414,197.0,male
799,62,7,3,3923,318.0,male
800,35,8,4,4273,358.0,male
801,62,4,6,1484,35.0,female
802,38,5,6,2065,245.0,female
803,50,8,8,3345,203.0,female
804,51,7,5,3460,348.0,male
805,28,6,6,2646,281.0,female
806,58,6,6,2646,167.0,male
807,18,8,3,4505,262.0,male
808,44,5,6,2065,201.0,female
809,37,8,8,3345,223.0,male
810,51,5,6,2065,228.0,female
811,27,4,8,1020,155.0,male
812,50,2,6,779,169.0,female
813,62,6,4,3110,187.0,male
814,36,4,6,1484,126.0,female
815,33,7,4,3691,194.0,female
816,60,3,6,902,88.0,female
817,35,5,6,2065,96.0,female
818,45,8,8,3345,180.0,male
819,61,6,7,2414,212.0,male
820,60,6,7,2414,262.0,male
821,46,6,3,3342,212.0,male
822,61,8,5,4041,306.0,female
823,34,7,5,3460,348.0,female
824,28,2,8,1243,135.0,male
