title,User1,User7,User13,User43,User44,User59,User62,User64,User92,User94,User109,User130,User144,User145,User151,User178,User194,User198,User200,User201,User222,User234,User268,User271,User276,User280,User293,User297,User301,User303,User305,User308,User311,User313,User327,User328,User334,User344,User345,User347,User363,User374,User378,User387,User393,User399,User406,User407,User416,User417,User425,User429,User435,User450,User455,User457,User472,User474,User479,User484,User487,User493,User497,User500,User514,User521,User533,User537,User551,User561,User592,User606,User618,User648,User650,User653,User654,User655,User666,User682,User727,User738,User747,User749,User758,User790,User796,User804,User805,User854,User864,User880,User881,User883,User889,User892,User896,User913,User916,User919
E.T. the Extra-Terrestrial (1982),,5.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,3.0,3.0,1.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,,,4.0,3.0,3.0,4.0,3.0,3.0,3.0,,4.0,4.0,4.0,,4.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,2.0,3.0,3.0,5.0,3.0,5.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,,,4.0,3.0,1.0,4.0,5.0,5.0,4.0,,4.0,5.0,3.0,3.0,3.0,5.0
"Empire Strikes Back, The (1980)",5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,
"English Patient, The (1996)",,4.0,3.0,4.0,,3.0,3.0,,,4.0,,5.0,4.0,3.0,5.0,3.0,1.0,,4.0,2.0,,3.0,5.0,4.0,,4.0,3.0,5.0,,5.0,4.0,,,,2.0,5.0,4.0,3.0,3.0,3.0,,,5.0,2.0,,,3.0,4.0,5.0,5.0,1.0,,,4.0,5.0,,,5.0,1.0,,2.0,,,1.0,,,4.0,3.0,4.0,4.0,5.0,,,1.0,3.0,4.0,,3.0,5.0,,,,4.0,,5.0,,2.0,,,1.0,5.0,,2.0,3.0,,,,,4.0,4.0
Fargo (1996),5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,1.0,,4.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,1.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,,4.0,4.0,1.0,3.0,4.0,3.0,2.0,2.0,5.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0
Forrest Gump (1994),3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,,4.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,2.0,5.0,5.0,2.0,4.0,1.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,,5.0,4.0,4.0,4.0,5.0,5.0,5.0,,5.0,4.0,5.0,,4.0,4.0,3.0,4.0,2.0,4.0,1.0,5.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,,4.0,5.0,4.0,3.0,2.0,3.0,5.0,5.0,2.0,4.0,3.0
"Fugitive, The (1993)",4.0,4.0,3.0,4.0,,5.0,,4.0,4.0,4.0,5.0,5.0,,5.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,,4.0,4.0,,3.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,
"Full Monty, The (1997)",5.0,3.0,2.0,5.0,,,,5.0,,,,4.0,,5.0,,4.0,,,,3.0,,,4.0,4.0,4.0,,,4.0,5.0,5.0,4.0,,,,3.0,,3.0,4.0,5.0,,,,4.0,,,,,3.0,4.0,,4.0,,,5.0,4.0,,,,,,,,,,4.0,,,3.0,,,4.0,,,,4.0,,4.0,3.0,5.0,,,2.0,4.0,,4.0,3.0,3.0,,5.0,4.0,,4.0,,3.0,4.0,,,5.0,,
"Godfather, The (1972)",5.0,5.0,5.0,4.0,,5.0,4.0,5.0,,5.0,2.0,,4.0,,,5.0,5.0,5.0,,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,,5.0,4.0,4.0,,4.0,,2.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,,5.0,5.0,,,3.0,5.0,,,4.0,5.0,5.0,5.0,,5.0,4.0,5.0,3.0,2.0,5.0,,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,,5.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,,
Groundhog Day (1993),5.0,3.0,5.0,5.0,4.0,4.0,,4.0,3.0,2.0,5.0,5.0,,4.0,5.0,5.0,3.0,,5.0,3.0,4.0,3.0,,4.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,,,4.0,3.0,4.0,,3.0,3.0,3.0,3.0,,3.0,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,5.0,,4.0,5.0,5.0,,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,5.0,3.0,3.0,,2.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,2.0,,5.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0
Independence Day (ID4) (1996),4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,2.0,5.0,5.0,,2.0,5.0,5.0,2.0,3.0,5.0,2.0,3.0,,2.0,2.0,4.0,,3.0,,4.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,,2.0,4.0,1.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,,3.0,2.0,3.0,5.0,4.0,3.0,1.0,4.0,2.0,5.0,,4.0,4.0,3.0,,3.0,
Indiana Jones and the Last Crusade (1989),4.0,4.0,3.0,5.0,,4.0,4.0,3.0,4.0,4.0,5.0,5.0,,,4.0,5.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,,3.0,3.0,4.0,3.0,4.0,5.0,3.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,,4.0,4.0,,4.0,4.0,4.0,4.0,2.0,4.0,
Jaws (1975),4.0,5.0,5.0,,,5.0,,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,,5.0,,3.0,4.0,4.0,5.0,4.0,,,4.0,,3.0,4.0,4.0,,,3.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,,5.0,2.0,3.0,3.0,,2.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,,3.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,,2.0,4.0,5.0,,4.0,5.0,3.0,4.0,4.0,,4.0,4.0,4.0,
Jerry Maguire (1996),2.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,,4.0,5.0,4.0,5.0,,4.0,3.0,2.0,,4.0,4.0,3.0,,4.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,,2.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,5.0,4.0,,4.0,3.0,1.0,,3.0,,,3.0,,5.0,3.0,4.0,,4.0,,3.0,4.0,,3.0,3.0,4.0,,2.0,3.0,4.0,,4.0,4.0,4.0,,,2.0,4.0,3.0,3.0,3.0,,,,3.0,4.0,4.0,5.0,4.0,,3.0,4.0,4.0,,3.0,4.0,4.0,5.0,4.0,3.0,4.0
L.A. Confidential (1997),,,5.0,4.0,,,3.0,,,4.0,,,3.0,4.0,3.0,4.0,,,,4.0,3.0,,5.0,5.0,5.0,,4.0,4.0,,4.0,4.0,,,,3.0,4.0,5.0,5.0,5.0,,5.0,,5.0,,4.0,4.0,,,5.0,3.0,5.0,,,5.0,,,,5.0,,,,,,,5.0,,,4.0,3.0,4.0,5.0,,,,,,5.0,4.0,5.0,,,,5.0,,5.0,,,,,3.0,,5.0,,5.0,4.0,,2.0,4.0,,4.0
Leaving Las Vegas (1995),,,5.0,4.0,,5.0,5.0,,5.0,,,4.0,3.0,1.0,,3.0,3.0,3.0,5.0,5.0,5.0,3.0,,3.0,4.0,5.0,,,1.0,4.0,,4.0,4.0,,,,4.0,4.0,,3.0,,4.0,4.0,,,3.0,4.0,,3.0,,,5.0,,,4.0,4.0,,5.0,,,3.0,,,5.0,,,1.0,4.0,5.0,4.0,5.0,,3.0,,,,1.0,4.0,,3.0,,,5.0,,2.0,,,,,,5.0,4.0,5.0,5.0,4.0,4.0,,3.0,4.0,5.0
Liar Liar (1997),,1.0,2.0,5.0,4.0,,1.0,,3.0,,4.0,5.0,4.0,4.0,,2.0,4.0,,4.0,,3.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,,3.0,4.0,,3.0,3.0,,,3.0,1.0,,2.0,2.0,2.0,4.0,,3.0,,4.0,4.0,2.0,,4.0,4.0,,2.0,4.0,3.0,3.0,4.0,4.0,,4.0,3.0,3.0,,4.0,1.0,4.0,,3.0,2.0,,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,,,2.0,5.0,2.0,3.0,5.0,1.0,2.0,4.0,4.0,3.0,,3.0,,,,,3.0
Men in Black (1997),4.0,,,4.0,4.0,,2.0,,2.0,4.0,5.0,4.0,4.0,5.0,,5.0,,,,,4.0,,4.0,4.0,4.0,,2.0,3.0,,4.0,2.0,4.0,,,2.0,,4.0,,,4.0,2.0,3.0,4.0,,4.0,,,4.0,3.0,3.0,3.0,4.0,4.0,,4.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,,,,4.0,5.0,,,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,,3.0,5.0,,5.0,5.0,,3.0,4.0,5.0,5.0,5.0,4.0,,4.0,,3.0,4.0
Mission: Impossible (1996),,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,,2.0,2.0,3.0,2.0,1.0,,4.0,4.0,3.0,,,3.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,,4.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,,4.0,,3.0,4.0,2.0,2.0,2.0,3.0,2.0,,2.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,2.0,4.0,2.0,,2.0,
Monty Python and the Holy Grail (1974),5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,,,5.0,4.0,5.0,4.0,,,4.0,3.0,4.0,2.0,5.0,,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,,5.0,,,5.0,4.0,1.0,,5.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,3.0,5.0,4.0,,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0
Mr. Holland's Opus (1995),5.0,,,5.0,4.0,5.0,2.0,,3.0,,4.0,,4.0,2.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,,3.0,,,3.0,,4.0,3.0,1.0,3.0,5.0,2.0,,,,,4.0,2.0,,3.0,4.0,,3.0,5.0,4.0,,4.0,5.0,,5.0,3.0,3.0,2.0,4.0,,5.0,3.0,5.0,,,,2.0,4.0,,4.0,3.0,5.0,3.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,,4.0,,,4.0,5.0,,5.0,4.0,,,3.0,4.0,,3.0,,,4.0,3.0,3.0,,5.0
"Princess Bride, The (1987)",5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,,5.0,,4.0,,4.0,5.0,5.0,2.0,5.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,5.0,5.0,,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,,5.0,4.0,,4.0,,4.0,5.0,5.0,3.0,5.0,5.0,,5.0,,4.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,,4.0,5.0,5.0,5.0,5.0,4.0,
Pulp Fiction (1994),4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,5.0,2.0,2.0,4.0,4.0,,5.0,5.0,5.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,,5.0,4.0,4.0,4.0,5.0,,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,2.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,,5.0,5.0,
Raiders of the Lost Ark (1981),5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,,3.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0
Return of the Jedi (1983),5.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,,2.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,,5.0,5.0,4.0,,4.0,4.0,5.0,3.0,4.0,4.0
"Rock, The (1996)",3.0,,3.0,4.0,,,4.0,,4.0,,5.0,5.0,4.0,5.0,,4.0,3.0,1.0,5.0,2.0,5.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,,4.0,,4.0,5.0,2.0,5.0,3.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,2.0,,4.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,,3.0,3.0,4.0,4.0,5.0,,4.0,4.0,2.0,1.0,2.0,4.0
"Saint, The (1997)",,,4.0,,,,,1.0,3.0,,3.0,4.0,,,2.0,4.0,,2.0,3.0,,,,,,3.0,2.0,2.0,2.0,,2.0,3.0,,4.0,3.0,,3.0,,,2.0,2.0,,,,,3.0,,,,4.0,4.0,3.0,,4.0,4.0,,,5.0,3.0,3.0,,4.0,,4.0,,2.0,3.0,3.0,,4.0,2.0,2.0,3.0,,3.0,,5.0,4.0,,,3.0,4.0,,,3.0,1.0,1.0,5.0,4.0,2.0,,,4.0,3.0,5.0,,,,,2.0,1.0
Schindler's List (1993),,5.0,3.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,,5.0,,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,,5.0,5.0,5.0,,,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,,5.0,3.0,,2.0,5.0,3.0,3.0,5.0,5.0,,5.0,,2.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,,,4.0,,5.0,4.0,5.0,3.0,5.0,,5.0,3.0,,4.0,5.0,4.0,5.0,4.0,,5.0,5.0,,,,4.0,5.0,,5.0,5.0,5.0,,4.0,4.0,5.0,4.0,4.0,4.0,5.0
Scream (1996),,4.0,1.0,,,5.0,2.0,4.0,3.0,3.0,5.0,5.0,2.0,,,5.0,,,5.0,4.0,4.0,3.0,4.0,,4.0,5.0,3.0,3.0,4.0,4.0,,4.0,,,4.0,,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,,4.0,5.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,5.0,3.0,3.0,,4.0,4.0,2.0,,,3.0,2.0,2.0,4.0,,5.0,4.0,3.0,4.0,3.0,,3.0,3.0,3.0,4.0,,,4.0,,4.0,4.0,,1.0,1.0,5.0,5.0,4.0,,,,4.0,3.0,2.0,,4.0
