Číslo závady,EC_SVE,EČ objektu,Katastr,Ulice,Sektor závady,Rok závady,Datum nahlášení závady,Typ závady,Plánovaný termín opravy,Stav opravy,Způsob opravy,Datum opravy
25,S-1259-003,,Židenice,VINAŘICKÉHO,Brno - východ,2 016,4.1.2016,S svítidlo-bliká,11.1.2016,Definitivní,S výměna světelného zdroje,5.1.2016
26,S-0831-019,,Staré Brno,PELLICOVA,Brno - východ,2 016,4.1.2016,S svítidlo-nesvítí,11.1.2016,Definitivní,S výměna světelného zdroje,5.1.2016
27,S-0421-007,R-0421-002,Stránice,KAMPELÍKOVA,Brno - západ,2 016,4.1.2016,S svítidlo-nesvítí,11.1.2016,Definitivní,S výměna světelného zdroje,5.1.2016
28,S-0808-034,Z-357,Židenice,OTAKARA ŠEVČÍKA,Brno - východ,2 016,4.1.2016,"Z vypnuta regulace, viz.poznámka",11.1.2016,Definitivní,Z regulace seřízena,5.1.2016
29,S-0579-005,Z-261,Stránice,LERCHOVA,Brno - západ,2 016,4.1.2016,Z vybitá PLC baterie,11.1.2016,Definitivní,Z výměna baterie,6.1.2016
30,S-1187-017,R-1187-002,Veveří,TŮMOVA,Brno - západ,2 016,4.1.2016,S svítidlo-nesvítí,11.1.2016,Definitivní,S výměna světelného zdroje,5.1.2016
31,S-1148-016,Z-500,Řečkovice,TEREZY NOVÁKOVÉ,Brno - západ,2 016,4.1.2016,Z vypadený jistící prvek,11.1.2016,Provizorní,kabelová porucha 1,5.1.2016
32,S-0916-005,,Řečkovice,PRUMPERK,Brno - západ,2 016,5.1.2016,S stožár-poškozen,12.1.2016,Definitivní,S výměna stožáru,22.4.2016
33,S-0826-014,,Kohoutovice,PAVLOVSKÁ,Brno - západ,2 016,5.1.2016,S svítidlo-rozbité,12.1.2016,Definitivní,S výměna stožáru,15.4.2016
34,S-0697-023,,Židenice,MUTĚNICKÁ,Brno - východ,2 016,5.1.2016,S svítidlo-nesvítí,12.1.2016,Definitivní,S výměna světelného zdroje,6.1.2016
35,S-0625-011,,Řečkovice,MARIE HÜBNEROVÉ,Brno - západ,2 016,5.1.2016,S svítidlo-bliká,12.1.2016,Definitivní,S výměna svítidla,18.1.2016
36,S-0583-029,,Řečkovice,LETOVICKÁ,Brno - západ,2 016,5.1.2016,"dvířka-poškozena, chybí",12.1.2016,Definitivní,S montáž dvířek,5.1.2016
37,S-1196-005,,Medlánky,TŘEŠŇOVÁ,Brno - západ,2 016,5.1.2016,S svítidlo-nesvítí,12.1.2016,Definitivní,S výměna světelného zdroje,6.1.2016
38,S-0482-007,,Královo Pole,KOSMOVA,Brno - západ,2 016,5.1.2016,S stožár-poškozen,12.1.2016,Definitivní,havárie,6.1.2016
39,S-0886-001,,Slatina,POMEZNÍ,Brno - východ,2 016,6.1.2016,S svítidlo-nesvítí,13.1.2016,Definitivní,S výměna světelného zdroje,7.1.2016
40,S-0753-009,,Černá Pole,NOVOTNÉHO,Brno - východ,2 016,6.1.2016,S svítidlo-nesvítí,13.1.2016,Definitivní,S výměna světelného zdroje,11.1.2016
41,S-1355-003,,Černá Pole,ZEMĚDĚLSKÁ,Brno - východ,2 016,6.1.2016,"S patice-poškozena, chybí",13.1.2016,Definitivní,S montáž patice,7.1.2016
42,S-0720-003,,Soběšice,NA RYCHTĚ,Brno - východ,2 016,6.1.2016,S svítidlo-nesvítí,13.1.2016,Definitivní,S výměna světelného zdroje,7.1.2016
43,S-1237-039,,Židenice,VALTICKÁ,Brno - východ,2 016,6.1.2016,S svítidlo-nesvítí,13.1.2016,Definitivní,S výměna světelného zdroje,7.1.2016
44,S-0702-032,Z-307,Královo Pole,MYSLÍNOVA,Brno - západ,2 016,6.1.2016,Z vypadený jistící prvek,13.1.2016,Definitivní,vypadený jistící prvek,6.1.2016
45,S-0279-035,Z-126,Komín,HLAVNÍ,Brno - západ,2 016,6.1.2016,SO nekomunikuje čip,13.1.2016,Definitivní,jiná závada,7.1.2016
46,S-0026-026,Z-014,Stránice,BARVIČOVA,Brno - západ,2 016,7.1.2016,viz. poznámka,14.1.2016,Definitivní,jiná závada,7.1.2016
47,S-0584-170,Z-267,Kohoutovice,LIBUŠINA TŘÍDA,Brno - západ,2 016,7.1.2016,"Z vypnuta regulace, viz.poznámka",14.1.2016,Definitivní,Z výměna el. výzbroje,7.1.2016
48,S-1075-003,,Město Brno,SOLNIČNÍ,Brno - východ,2 016,7.1.2016,S stožár-poškozen,14.1.2016,Definitivní,S výměna stožáru,18.3.2016
49,S-0269-012,,Stránice,HELCELETOVA,Brno - západ,2 016,7.1.2016,S svítidlo-nesvítí,14.1.2016,Definitivní,S výměna světelného zdroje,8.1.2016
50,S-1261-091,R-1261-008,Židenice,VINIČNÍ,Brno - východ,2 016,7.1.2016,S svítidlo-bliká,14.1.2016,Definitivní,S výměna světelného zdroje,21.3.2016
51,S-1433-003,Z-478,Židenice,ŠEDOVA,Brno - východ,2 016,8.1.2016,viz. poznámka,15.1.2016,Definitivní,jiná závada,13.1.2016
52,S-0404-006,,Chrlice,K LÁZINKÁM,Brno - východ,2 016,8.1.2016,S svítidlo-bliká,15.1.2016,Definitivní,S výměna světelného zdroje,11.1.2016
53,S-0976-008,R-1086-002,Bohunice,ROLNICKÁ,Brno - západ,2 016,8.1.2016,"dvířka-poškozena, chybí",15.1.2016,Definitivní,R oprava RS,8.1.2016
54,S-0563-035,,Královo Pole,KŘIŽÍKOVA,Brno - východ,2 016,8.1.2016,S svítidlo-nesvítí,15.1.2016,Definitivní,S výměna světelného zdroje,11.1.2016
55,S-0327-034,Z-153,Slatina,HVIEZDOSLAVOVA,Brno - východ,2 016,8.1.2016,"Z vypnuta regulace, viz.poznámka",15.1.2016,Definitivní,Z regulace seřízena,13.1.2016
56,S-1692-008,R-0886-001,Slatina,V NOVÉ ČTVRTI,Brno - východ,2 016,8.1.2016,S svítidlo-nesvítí,15.1.2016,Definitivní,S výměna světelného zdroje,11.1.2016
57,S-0886-001,,Slatina,POMEZNÍ,Brno - východ,2 016,8.1.2016,S svítidlo-nesvítí,15.1.2016,Definitivní,S výměna světelného zdroje,11.1.2016
58,S-1696-097,Z-029,Starý Lískovec,BÍTEŠSKÁ,Brno - západ,2 016,9.1.2016,Z porucha regulace,16.1.2016,Definitivní,Z regulace seřízena,13.1.2016
59,S-1130-025,Z-474,Židenice,SVATOPLUKOVA,Brno - východ,2 016,9.1.2016,Z vypadený jistící prvek,16.1.2016,Definitivní,vypadený jistící prvek,11.1.2016
60,S-0035-001,Z-020,Město Brno,BEETHOVENOVA,Brno - východ,2 016,9.1.2016,Z vypadený jistící prvek,16.1.2016,Definitivní,vypadený jistící prvek,11.1.2016
61,S-0022-001,Z-011,Židenice,BALBÍNOVA,Brno - východ,2 016,9.1.2016,viz. poznámka,16.1.2016,Definitivní,Z výměna proudového snímače,13.1.2016
62,S-1070-015,Z-453,Husovice,SOBĚŠICKÁ,Brno - východ,2 016,9.1.2016,Z vypadený jistící prvek,16.1.2016,Definitivní,jiná závada,11.1.2016
63,S-1070-015,Z-453,Husovice,SOBĚŠICKÁ,Brno - východ,2 016,9.1.2016,Z zapnout BP - porucha stabilizace,9.1.2016,Definitivní,vyráží jistící prvek,11.1.2016
64,S-0254-008,Z-112,Tuřany,HANÁCKÁ,Brno - východ,2 016,9.1.2016,S svítidlo-nesvítí,16.1.2016,Definitivní,S výměna světelného zdroje,14.1.2016
65,S-0665-010,Z-048,Líšeň,MIFKOVA,Brno - východ,2 016,9.1.2016,SO nesvítí dle scénáře,16.1.2016,Definitivní,jiná závada,13.1.2016
66,S-0998-001,Z-408,Staré Brno,RYBÁŘSKÁ,Brno - západ,2 016,9.1.2016,Z vypadený jistící prvek,16.1.2016,Definitivní,S výměna světelného zdroje,11.1.2016
67,S-1256-174,Z-545,Jundrov,VESLAŘSKÁ,Brno - západ,2 016,10.1.2016,Z porucha regulace,17.1.2016,Definitivní,Z regulace seřízena,13.1.2016
68,S-1280-006,,Černá Pole,VOLEJNÍKOVA,Brno - východ,2 016,10.1.2016,S svítidlo-nesvítí,17.1.2016,Definitivní,S výměna světelného zdroje,11.1.2016
69,S-0275-094,Z-122,Štýřice,HERŠPICKÁ,Brno - západ,2 016,10.1.2016,Z vypadený jistící prvek,17.1.2016,Definitivní,jiná závada,11.1.2016
70,S-0275-094,Z-122,Štýřice,HERŠPICKÁ,Brno - západ,2 016,10.1.2016,"Z vypnuta regulace, porucha síťě",17.1.2016,Definitivní,oprava kabelu,12.1.2016
71,S-1422-015,,Město Brno,ČESKÁ,Brno - východ,2 016,10.1.2016,S svítidlo-nesvítí,17.1.2016,Definitivní,při kontrole vše v pořádku,11.1.2016
72,S-1219-099,,Bohunice,UKRAJINSKÁ,Brno - západ,2 016,10.1.2016,S svítidlo-nesvítí,17.1.2016,Definitivní,S výměna světelného zdroje,11.1.2016
73,S-1219-100,,Bohunice,UKRAJINSKÁ,Brno - západ,2 016,10.1.2016,S svítidlo-nesvítí,17.1.2016,Definitivní,S výměna světelného zdroje,11.1.2016
74,S-0045-013,Z-025,Černá Pole,BIEBLOVA,Brno - východ,2 016,11.1.2016,viz. poznámka,18.1.2016,Definitivní,jiná závada,13.1.2016
75,S-0266-015,Z-116,Dolní Heršpice,HAVRÁNKOVA,Brno - východ,2 016,11.1.2016,viz. poznámka,18.1.2016,Definitivní,jiná závada,13.1.2016
76,S-0270-023,Z-117,Lesná,HELENY MALÍŘOVÉ,Brno - východ,2 016,11.1.2016,viz. poznámka,18.1.2016,Definitivní,jiná závada,13.1.2016
77,S-0099-008,,Židenice,BUZKOVA,Brno - východ,2 016,11.1.2016,S svítidlo-nesvítí,18.1.2016,Definitivní,S výměna světelného zdroje,13.1.2016
78,S-0370-003,,Město Brno,JEZUITSKÁ,Brno - východ,2 016,11.1.2016,S svítidlo-nesvítí,18.1.2016,Definitivní,vypadený jistící prvek,11.1.2016
79,S-0366-014,,Komárov,JENEWEINOVA,Brno - východ,2 016,11.1.2016,"dvířka-poškozena, chybí",18.1.2016,Definitivní,S montáž dvířek,11.1.2016
80,S-0068-022,,Starý Lískovec,BOSONOŽSKÁ,Brno - západ,2 016,11.1.2016,S svítidlo-nesvítí,18.1.2016,Definitivní,S montáž patice,13.1.2016
81,S-1938-014,,Žebětín,ŘÍČANSKÁ,Brno - západ,2 016,11.1.2016,"dvířka-poškozena, chybí",18.1.2016,Definitivní,S montáž dvířek,11.1.2016
82,S-0660-004,,Žabovřesky,MEZNÍKOVA,Brno - západ,2 016,11.1.2016,S svítidlo-nesvítí,18.1.2016,Definitivní,S výměna světelného zdroje,12.1.2016
83,S-0775-001,,Líšeň,OBECKÁ,Brno - východ,2 016,11.1.2016,S svítidlo-bliká,18.1.2016,Definitivní,S výměna světelného zdroje,13.1.2016
84,S-1102-011,R-0743-002,Židenice,STEJSKALOVA,Brno - východ,2 016,11.1.2016,R poškozen,18.1.2016,Definitivní,R výměna RS,23.2.2016
85,S-0908-012,R-0908-002,Holásky,PRODLOUŽENÁ,Brno - východ,2 016,11.1.2016,S stožár-poškozen,18.1.2016,Definitivní,S výměna stožáru,7.4.2016
86,S-0897-001,R-0897-001,Komárov,POTOČNÍ,Brno - východ,2 016,11.1.2016,"S patice-poškozena, chybí",18.1.2016,Definitivní,S montáž dvířek,11.1.2016
87,S-0899-040,,Žabovřesky,POZNAŇSKÁ,Brno - západ,2 016,11.1.2016,S svítidlo-nesvítí,18.1.2016,Definitivní,S montáž patice,12.1.2016
88,S-1627-029,,Veveří,TYRŠŮV SAD,Brno - východ,2 016,11.1.2016,S svítidlo-nesvítí,18.1.2016,Definitivní,oprava kabelu,23.3.2016
89,S-1493-039,Z-444,Slatina,ŘÍPSKÁ,Brno - východ,2 016,12.1.2016,Z vybitá PLC baterie,19.1.2016,Definitivní,Z výměna baterie,13.1.2016
90,S-0446-008,,Komárov,KLÁŠTERSKÉHO,Brno - východ,2 016,12.1.2016,S svítidlo-bliká,19.1.2016,Definitivní,S výměna světelného zdroje,15.1.2016
91,S-0075-029,,Židenice,BOŘETICKÁ,Brno - východ,2 016,12.1.2016,S svítidlo-nesvítí,19.1.2016,Definitivní,S výměna světelného zdroje,12.1.2016
92,S-1352-019,,Město Brno,ZELNÝ TRH,Brno - východ,2 016,12.1.2016,S stožár-poškozen,19.1.2016,Definitivní,oprava zničeného VO,1.3.2016
93,S-1352-020,,Město Brno,ZELNÝ TRH,Brno - východ,2 016,12.1.2016,S stožár-poškozen,19.1.2016,Definitivní,oprava zničeného VO,1.3.2016
94,S-1150-068,,Bystrc,TEYSCHLOVA,Brno - západ,2 016,12.1.2016,S svítidlo-nesvítí,19.1.2016,Definitivní,vypadený jistící prvek,13.1.2016
95,S-0159-006,,Žabovřesky,DOLEŽALOVA,Brno - západ,2 016,12.1.2016,S svítidlo-bliká,19.1.2016,Definitivní,S výměna světelného zdroje,13.1.2016
96,S-1484-004,,Soběšice,ÚTĚCHOVSKÁ,Brno - východ,2 016,12.1.2016,S svítidlo-nesvítí,19.1.2016,Definitivní,S výměna světelného zdroje,14.1.2016
97,S-0956-006,Z-428,Bystrc,RAKOVECKÁ,Brno - západ,2 016,13.1.2016,Z výpadek přívodního napájení,20.1.2016,Definitivní,Z obnovení dodávky el. energie,13.1.2016
98,S-0507-003,,Řečkovice,KOŘENSKÉHO,Brno - západ,2 016,13.1.2016,S svítidlo-bliká,20.1.2016,Definitivní,S výměna světelného zdroje,13.1.2016
99,S-0507-002,,Řečkovice,KOŘENSKÉHO,Brno - západ,2 016,13.1.2016,S svítidlo-bliká,20.1.2016,Definitivní,S výměna světelného zdroje,13.1.2016
100,S-1136-049,,Nový Lískovec,SVÁŽNÁ,Brno - západ,2 016,13.1.2016,"dvířka-poškozena, chybí",20.1.2016,Definitivní,S montáž dvířek,13.1.2016
101,S-0805-034,,Starý Lískovec,OSOVÁ,Brno - západ,2 016,13.1.2016,S svítidlo-nesvítí,20.1.2016,Provizorní,kabelová porucha 1,13.1.2016
102,S-1488-011,,Černovice,ŘEHOŘOVA,Brno - východ,2 016,13.1.2016,S svítidlo-nesvítí,20.1.2016,Definitivní,S výměna světelného zdroje,15.1.2016
103,S-0125-093,,Černovice,CHARBULOVA,Brno - východ,2 016,13.1.2016,S svítidlo-nesvítí,20.1.2016,Definitivní,S výměna svítidla,22.1.2016
104,S-1692-008,R-0886-001,Slatina,V NOVÉ ČTVRTI,Brno - východ,2 016,13.1.2016,S svítidlo-nesvítí,20.1.2016,Definitivní,při kontrole vše v pořádku,22.1.2016
105,S-0886-001,,Slatina,POMEZNÍ,Brno - východ,2 016,13.1.2016,S svítidlo-nesvítí,20.1.2016,Definitivní,při kontrole vše v pořádku,22.1.2016
106,S-1692-009,,Slatina,V NOVÉ ČTVRTI,Brno - východ,2 016,13.1.2016,S svítidlo-nesvítí,20.1.2016,Definitivní,S výměna světelného zdroje,15.1.2016
107,S-0327-035,Z-153,Slatina,HVIEZDOSLAVOVA,Brno - východ,2 016,13.1.2016,Z výpadek nastavení masky,20.1.2016,Definitivní,Z nastavení masky,14.1.2016
108,S-0996-038,Z-439,Nový Lískovec,RYBNICKÁ,Brno - západ,2 016,13.1.2016,S svítidlo-nesvítí,20.1.2016,Definitivní,S výměna tlumivky,14.1.2016
109,S-1058-003,,Komárov,SLUNNÁ,Brno - východ,2 016,13.1.2016,S svítidlo-bliká,20.1.2016,Definitivní,S výměna světelného zdroje,15.1.2016
110,S-0924-020,,Královo Pole,PURKYŇOVA,Brno - západ,2 016,13.1.2016,S svítidlo-nesvítí,20.1.2016,Definitivní,S výměna světelného zdroje,14.1.2016
111,S-0887-011,Z-407,Komárov,POMPOVA,Brno - východ,2 016,13.1.2016,SO nekomunikuje čip,20.1.2016,Definitivní,při kontrole vše v pořádku,14.1.2016
112,S-0370-001,R-0501-001,Město Brno,JEZUITSKÁ,Brno - východ,2 016,14.1.2016,"nesvítí celá ulice, oblast",21.1.2016,Definitivní,oprava kabelu,6.4.2016
113,S-0035-002,Z-020,Město Brno,BEETHOVENOVA,Brno - východ,2 016,14.1.2016,viz. poznámka,21.1.2016,Definitivní,Z výměna baterie,14.1.2016
114,S-1298-003,,Židenice,VYMAZALOVA,Brno - východ,2 016,14.1.2016,S svítidlo-nesvítí,21.1.2016,Definitivní,S výměna světelného zdroje,15.1.2016
115,S-0568-044,,Starý Lískovec,LABSKÁ,Brno - západ,2 016,14.1.2016,"dvířka-poškozena, chybí",21.1.2016,Definitivní,S montáž dvířek,14.1.2016
116,S-0075-039,,Židenice,BOŘETICKÁ,Brno - východ,2 016,14.1.2016,S svítidlo-nesvítí,21.1.2016,Definitivní,S výměna světelného zdroje,19.1.2016
117,S-0560-016,,Trnitá,KŘENOVÁ,Brno - východ,2 016,14.1.2016,S svítidlo-nesvítí,21.1.2016,Definitivní,S výměna světelného zdroje,15.1.2016
118,S-0560-017,,Trnitá,KŘENOVÁ,Brno - východ,2 016,14.1.2016,S svítidlo-nesvítí,21.1.2016,Definitivní,S výměna světelného zdroje,15.1.2016
119,S-0731-004,,Lesná,NARCISOVÁ,Brno - východ,2 016,14.1.2016,S svítidlo-bliká,21.1.2016,Definitivní,S výměna světelného zdroje,15.1.2016
120,S-0327-035,Z-153,Slatina,HVIEZDOSLAVOVA,Brno - východ,2 016,14.1.2016,"Z vypnuta regulace, viz.poznámka",21.1.2016,Definitivní,jiná závada,18.1.2016
121,S-0388-047,,Město Brno,JOŠTOVA,Brno - východ,2 016,14.1.2016,S svítidlo-nesvítí,21.1.2016,Definitivní,S oprava svítidla,15.1.2016
122,S-0960-006,,Město Brno,RAŠÍNOVA,Brno - východ,2 016,14.1.2016,S svítidlo-nesvítí,21.1.2016,Definitivní,S výměna světelného zdroje,26.8.2016
123,S-1260-016,,Pisárky,VINAŘSKÁ,Brno - západ,2 016,15.1.2016,"nesvítí celá ulice, oblast",22.1.2016,Definitivní,S výměna svorkovnice,18.1.2016
124,S-0786-029,,Bohunice,OKROUHLÁ,Brno - západ,2 016,15.1.2016,"dvířka-poškozena, chybí",22.1.2016,Definitivní,S montáž dvířek,15.1.2016
125,S-0375-191,Z-186,Starý Lískovec,JIHLAVSKÁ,Brno - západ,2 016,15.1.2016,Z vypadený jistící prvek,22.1.2016,Definitivní,vypadený jistící prvek,15.1.2016
126,S-1307-005,,Židenice,VÁPENKA,Brno - východ,2 016,15.1.2016,S svítidlo-bliká,22.1.2016,Definitivní,S výměna světelného zdroje,18.1.2016
127,S-0752-089,,Řečkovice,NOVOMĚSTSKÁ,Brno - západ,2 016,16.1.2016,"S patice-poškozena, chybí",23.1.2016,Definitivní,S montáž patice,18.1.2016
128,S-0752-090,,Řečkovice,NOVOMĚSTSKÁ,Brno - západ,2 016,16.1.2016,"S patice-poškozena, chybí",23.1.2016,Definitivní,S montáž patice,18.1.2016
129,S-1174-003,Z-509,Komárov,TUHÁČKOVA,Brno - východ,2 016,16.1.2016,"Z vypnuta regulace, viz.poznámka",23.1.2016,Definitivní,Z regulace seřízena,18.1.2016
130,S-0134-002,,Líšeň,CHMELNICE,Brno - východ,2 016,17.1.2016,S svítidlo-bliká,24.1.2016,Definitivní,S výměna světelného zdroje,19.1.2016
131,S-1073-079,,Horní Heršpice,SOKOLOVA,Brno - východ,2 016,17.1.2016,S svítidlo-rozbité,24.1.2016,Definitivní,S výměna světelného zdroje,20.1.2016
132,S-0017-011,Z-008,Kohoutovice,AXMANOVA,Brno - západ,2 016,17.1.2016,Z vypadený jistící prvek,24.1.2016,Definitivní,vypadený jistící prvek,17.1.2016
133,S-0673-003,,Město Brno,MINORITSKÁ,Brno - východ,2 016,17.1.2016,S svítidlo-nesvítí,24.1.2016,Definitivní,S výměna světelného zdroje,18.1.2016
134,S-1379-004,R-1379-001,Město Brno,ZÁMEČNICKÁ,Brno - východ,2 016,17.1.2016,S svítidlo-nesvítí,24.1.2016,Definitivní,S výměna světelného zdroje,18.1.2016
135,S-0797-003,,Město Brno,OPLETALOVA,Brno - východ,2 016,17.1.2016,S svítidlo-nesvítí,24.1.2016,Definitivní,S výměna světelného zdroje,18.1.2016
136,S-1175-007,Z-510,Mokrá Hora,TUMAŇANOVA,Brno - západ,2 016,18.1.2016,Z vybitá PLC baterie,25.1.2016,Definitivní,Z výměna baterie,18.1.2016
137,S-0883-009,,Štýřice,POLNÍ,Brno - západ,2 016,18.1.2016,S svítidlo-bliká,25.1.2016,Definitivní,S výměna světelného zdroje,18.1.2016
138,S-0883-017,,Štýřice,POLNÍ,Brno - západ,2 016,18.1.2016,S svítidlo-nesvítí,25.1.2016,Definitivní,S výměna světelného zdroje,18.1.2016
139,S-1367-055,,Trnitá,ZVONAŘKA,Brno - východ,2 016,18.1.2016,S svítidlo-nesvítí,25.1.2016,Definitivní,vypadený jistící prvek,20.1.2016
140,S-0789-017,R-0789-006,Černovice,OLOMOUCKÁ,Brno - východ,2 016,18.1.2016,R poškozen,25.1.2016,Definitivní,R oprava dvířek,18.1.2016
141,S-1415-069,,Černovice,ČERNOVICKÁ,Brno - východ,2 016,18.1.2016,S stožár-poškozen,25.1.2016,Definitivní,S výměna stožáru,14.4.2016
142,S-1575-015,,Líšeň,SEDLÁČKOVA,Brno - východ,2 016,18.1.2016,S svítidlo-bliká,25.1.2016,Definitivní,S výměna světelného zdroje,19.1.2016
143,S-0590-025,,Pisárky,LIPOVÁ,Brno - západ,2 016,18.1.2016,S svítidlo-nesvítí,25.1.2016,Definitivní,při kontrole vše v pořádku,19.1.2016
144,S-0697-023,,Židenice,MUTĚNICKÁ,Brno - východ,2 016,18.1.2016,S svítidlo-nesvítí,25.1.2016,Definitivní,S výměna světelného zdroje,19.1.2016
145,S-0137-013,,Chrlice,CHRLICKÉ NÁMĚSTÍ,Brno - východ,2 016,18.1.2016,S svítidlo-rozbité,25.1.2016,Definitivní,S výměna svítidla,22.1.2016
146,S-1176-007,Z-512,Černovice,TURGENĚVOVA,Brno - východ,2 016,18.1.2016,Z vypadený jistící prvek,25.1.2016,Definitivní,při kontrole vše v pořádku,18.1.2016
147,S-0479-024,,Žabovřesky,KOREJSKÁ,Brno - západ,2 016,18.1.2016,S svítidlo-nesvítí,25.1.2016,Definitivní,S výměna svítidla,19.1.2016
148,S-0527-011,Z-235,Žabovřesky,KRÁLOVA,Brno - západ,2 016,18.1.2016,Z vypadený jistící prvek,25.1.2016,Definitivní,vypadený jistící prvek,18.1.2016
149,S-0163-003,Z-077,Ponava,DOMAŽLICKÁ,Brno - západ,2 016,18.1.2016,Z vypadený jistící prvek,25.1.2016,Definitivní,vypadený jistící prvek,19.1.2016
150,S-0327-035,Z-153,Slatina,HVIEZDOSLAVOVA,Brno - východ,2 016,19.1.2016,Z porucha regulace,26.1.2016,Definitivní,jiná závada,22.1.2016
151,S-0607-019,Z-273,Černá Pole,LUŽÁNECKÁ,Brno - východ,2 016,19.1.2016,Z porucha regulace,26.1.2016,Definitivní,jiná závada,22.1.2016
152,S-0172-008,Z-260,Jundrov,DUBOVÁ,Brno - západ,2 016,19.1.2016,Z vybitá PLC baterie,26.1.2016,Definitivní,Z výměna baterie,19.1.2016
