id,name,height,weight,color,shape,is baby,type 1,type 2,hp,attack,defense,speed
84,doduo,1.4,39.2,brown,legs,False,Normal,Flying,35,85,45,75
85,dodrio,1.8,85.2,brown,legs,False,Normal,Flying,60,110,70,110
86,seel,1.1,90.0,white,fish,False,Water,,65,45,55,45
87,dewgong,1.7,120.0,white,fish,False,Water,Ice,90,70,80,70
88,grimer,0.9,30.0,purple,arms,False,Poison,,80,80,50,25
89,muk,1.2,30.0,purple,arms,False,Poison,,105,105,75,50
90,shellder,0.3,4.0,purple,ball,False,Water,,30,65,100,40
91,cloyster,1.5,132.5,purple,ball,False,Water,Ice,50,95,180,70
92,gastly,1.3,0.1,purple,ball,False,Ghost,Poison,30,35,30,80
93,haunter,1.6,0.1,purple,arms,False,Ghost,Poison,45,50,45,95
94,gengar,1.5,40.5,purple,upright,False,Ghost,Poison,60,65,60,110
95,onix,8.8,210.0,gray,squiggle,False,Rock,Ground,35,45,160,70
96,drowzee,1.0,32.4,yellow,humanoid,False,Psychic,,60,48,45,42
97,hypno,1.6,75.6,yellow,humanoid,False,Psychic,,85,73,70,67
98,krabby,0.4,6.5,red,armor,False,Water,,30,105,90,50
99,kingler,1.3,60.0,red,armor,False,Water,,55,130,115,75
100,voltorb,0.5,10.4,red,ball,False,Electric,,40,30,50,100
101,electrode,1.2,66.6,red,ball,False,Electric,,60,50,70,150
102,exeggcute,0.4,2.5,pink,heads,False,Grass,Psychic,60,40,80,40
103,exeggutor,2.0,120.0,yellow,legs,False,Grass,Psychic,95,95,85,55
104,cubone,0.4,6.5,brown,upright,False,Ground,,50,50,95,35
105,marowak,1.0,45.0,brown,upright,False,Ground,,60,80,110,45
106,hitmonlee,1.5,49.8,brown,humanoid,False,Fighting,,50,120,53,87
107,hitmonchan,1.4,50.2,brown,humanoid,False,Fighting,,50,105,79,76
108,lickitung,1.2,65.5,pink,upright,False,Normal,,90,55,75,30
109,koffing,0.6,1.0,purple,ball,False,Poison,,40,65,95,35
110,weezing,1.2,9.5,purple,heads,False,Poison,,65,90,120,60
111,rhyhorn,1.0,115.0,gray,quadruped,False,Ground,Rock,80,85,95,25
112,rhydon,1.9,120.0,gray,upright,False,Ground,Rock,105,130,120,40
113,chansey,1.1,34.6,pink,upright,False,Normal,,250,5,5,50
114,tangela,1.0,35.0,blue,legs,False,Grass,,65,55,115,60
115,kangaskhan,2.2,80.0,brown,upright,False,Normal,,105,95,80,90
116,horsea,0.4,8.0,blue,blob,False,Water,,30,40,70,60
117,seadra,1.2,25.0,blue,blob,False,Water,,55,65,95,85
118,goldeen,0.6,15.0,red,fish,False,Water,,45,67,60,63
119,seaking,1.3,39.0,red,fish,False,Water,,80,92,65,68
120,staryu,0.8,34.5,brown,blob,False,Water,,30,45,55,85
121,starmie,1.1,80.0,purple,blob,False,Water,Psychic,60,75,85,115
122,mr-mime,1.3,54.5,pink,humanoid,False,Psychic,Fairy,40,45,65,90
123,scyther,1.5,56.0,green,bug-wings,False,Bug,Flying,70,110,80,105
124,jynx,1.4,40.6,red,humanoid,False,Ice,Psychic,65,50,35,95
125,electabuzz,1.1,30.0,yellow,upright,False,Electric,,65,83,57,105
126,magmar,1.3,44.5,red,upright,False,Fire,,65,95,57,93
127,pinsir,1.5,55.0,brown,humanoid,False,Bug,,65,125,100,85
128,tauros,1.4,88.4,brown,quadruped,False,Normal,,75,100,95,110
129,magikarp,0.9,10.0,red,fish,False,Water,,20,10,55,80
130,gyarados,6.5,235.0,blue,squiggle,False,Water,Flying,95,125,79,81
131,lapras,2.5,220.0,blue,fish,False,Water,Ice,130,85,80,60
132,ditto,0.3,4.0,purple,ball,False,Normal,,48,48,48,48
133,eevee,0.3,6.5,brown,quadruped,False,Normal,,55,55,50,55
134,vaporeon,1.0,29.0,blue,quadruped,False,Water,,130,65,60,65
135,jolteon,0.8,24.5,yellow,quadruped,False,Electric,,65,65,60,130
136,flareon,0.9,25.0,red,quadruped,False,Fire,,65,130,60,65
137,porygon,0.8,36.5,pink,legs,False,Normal,,65,60,70,40
138,omanyte,0.4,7.5,blue,tentacles,False,Rock,Water,35,40,100,35
139,omastar,1.0,35.0,blue,tentacles,False,Rock,Water,70,60,125,55
140,kabuto,0.5,11.5,brown,armor,False,Rock,Water,30,80,90,55
141,kabutops,1.3,40.5,brown,upright,False,Rock,Water,60,115,105,80
142,aerodactyl,1.8,59.0,purple,wings,False,Rock,Flying,80,105,65,130
143,snorlax,2.1,460.0,black,humanoid,False,Normal,,160,110,65,30
144,articuno,1.7,55.4,blue,wings,False,Ice,Flying,90,85,100,85
145,zapdos,1.6,52.6,yellow,wings,False,Electric,Flying,90,90,85,100
146,moltres,2.0,60.0,yellow,wings,False,Fire,Flying,90,100,90,90
147,dratini,1.8,3.3,blue,squiggle,False,Dragon,,41,64,45,50
148,dragonair,4.0,16.5,blue,squiggle,False,Dragon,,61,84,65,70
149,dragonite,2.2,210.0,brown,upright,False,Dragon,Flying,91,134,95,80
150,mewtwo,2.0,122.0,purple,upright,False,Psychic,,106,110,90,130
151,mew,0.4,4.0,pink,upright,False,Psychic,,100,100,100,100
152,chikorita,0.9,6.4,green,quadruped,False,Grass,,45,49,65,45
153,bayleef,1.2,15.8,green,quadruped,False,Grass,,60,62,80,60
154,meganium,1.8,100.5,green,quadruped,False,Grass,,80,82,100,80
155,cyndaquil,0.5,7.9,yellow,humanoid,False,Fire,,39,52,43,65
156,quilava,0.9,19.0,yellow,quadruped,False,Fire,,58,64,58,80
157,typhlosion,1.7,79.5,yellow,quadruped,False,Fire,,78,84,78,100
158,totodile,0.6,9.5,blue,upright,False,Water,,50,65,64,43
159,croconaw,1.1,25.0,blue,upright,False,Water,,65,80,80,58
160,feraligatr,2.3,88.8,blue,upright,False,Water,,85,105,100,78
161,sentret,0.8,6.0,brown,quadruped,False,Normal,,35,46,34,20
162,furret,1.8,32.5,brown,quadruped,False,Normal,,85,76,64,90
163,hoothoot,0.7,21.2,brown,wings,False,Normal,Flying,60,30,30,50
164,noctowl,1.6,40.8,brown,wings,False,Normal,Flying,100,50,50,70
165,ledyba,1.0,10.8,red,wings,False,Bug,Flying,40,20,30,55
166,ledian,1.4,35.6,red,wings,False,Bug,Flying,55,35,50,85
167,spinarak,0.5,8.5,green,armor,False,Bug,Poison,40,60,40,30
168,ariados,1.1,33.5,red,armor,False,Bug,Poison,70,90,70,40
169,crobat,1.8,75.0,purple,bug-wings,False,Poison,Flying,85,90,80,130
170,chinchou,0.5,12.0,blue,fish,False,Water,Electric,75,38,38,67
171,lanturn,1.2,22.5,blue,fish,False,Water,Electric,125,58,58,67
172,pichu,0.3,2.0,yellow,quadruped,True,Electric,,20,40,15,60
173,cleffa,0.3,3.0,pink,upright,True,Fairy,,50,25,28,15
174,igglybuff,0.3,1.0,pink,humanoid,True,Normal,Fairy,90,30,15,15
175,togepi,0.3,1.5,white,humanoid,True,Fairy,,35,20,65,20
176,togetic,0.6,3.2,white,humanoid,False,Fairy,Flying,55,40,85,40
177,natu,0.2,2.0,green,wings,False,Psychic,Flying,40,50,45,70
178,xatu,1.5,15.0,green,wings,False,Psychic,Flying,65,75,70,95
179,mareep,0.6,7.8,white,quadruped,False,Electric,,55,40,40,35
180,flaaffy,0.8,13.3,pink,upright,False,Electric,,70,55,55,45
181,ampharos,1.4,61.5,yellow,upright,False,Electric,,90,75,85,55
182,bellossom,0.4,5.8,green,humanoid,False,Grass,,75,80,95,50
183,marill,0.4,8.5,blue,upright,False,Water,Fairy,70,20,50,40
184,azumarill,0.8,28.5,blue,upright,False,Water,Fairy,100,50,80,50
185,sudowoodo,1.2,38.0,brown,humanoid,False,Rock,,70,100,115,30
186,politoed,1.1,33.9,green,humanoid,False,Water,,90,75,75,70
187,hoppip,0.4,0.5,pink,upright,False,Grass,Flying,35,35,40,50
188,skiploom,0.6,1.0,green,upright,False,Grass,Flying,55,45,50,80
189,jumpluff,0.8,3.0,blue,upright,False,Grass,Flying,75,55,70,110
190,aipom,0.8,11.5,purple,upright,False,Normal,,55,70,55,85
191,sunkern,0.3,1.8,yellow,ball,False,Grass,,30,30,30,30
192,sunflora,0.8,8.5,yellow,humanoid,False,Grass,,75,75,55,30
193,yanma,1.2,38.0,red,bug-wings,False,Bug,Flying,65,65,45,95
194,wooper,0.4,8.5,blue,legs,False,Water,Ground,55,45,45,15
195,quagsire,1.4,75.0,blue,upright,False,Water,Ground,95,85,85,35
196,espeon,0.9,26.5,purple,quadruped,False,Psychic,,65,65,60,110
197,umbreon,1.0,27.0,black,quadruped,False,Dark,,95,65,110,65
198,murkrow,0.5,2.1,black,wings,False,Dark,Flying,60,85,42,91
199,slowking,2.0,79.5,pink,upright,False,Water,Psychic,95,75,80,30
200,misdreavus,0.7,1.0,gray,ball,False,Ghost,,60,60,60,85
201,unown,0.5,5.0,black,ball,False,Psychic,,48,72,48,48
202,wobbuffet,1.3,28.5,blue,blob,False,Psychic,,190,33,58,33
203,girafarig,1.5,41.5,yellow,quadruped,False,Normal,Psychic,70,80,65,85
204,pineco,0.6,7.2,gray,ball,False,Bug,,50,65,90,15
205,forretress,1.2,125.8,purple,ball,False,Bug,Steel,75,90,140,40
206,dunsparce,1.5,14.0,yellow,squiggle,False,Normal,,100,70,70,45
207,gligar,1.1,64.8,purple,wings,False,Ground,Flying,65,75,105,85
208,steelix,9.2,400.0,gray,squiggle,False,Steel,Ground,75,85,200,30
209,snubbull,0.6,7.8,pink,humanoid,False,Fairy,,60,80,50,30
210,granbull,1.4,48.7,purple,upright,False,Fairy,,90,120,75,45
211,qwilfish,0.5,3.9,gray,fish,False,Water,Poison,65,95,85,85
212,scizor,1.8,118.0,red,bug-wings,False,Bug,Steel,70,130,100,65
213,shuckle,0.6,20.5,yellow,armor,False,Bug,Rock,20,10,230,5
214,heracross,1.5,54.0,blue,humanoid,False,Bug,Fighting,80,125,75,85
215,sneasel,0.9,28.0,black,upright,False,Dark,Ice,55,95,55,115
216,teddiursa,0.6,8.8,brown,upright,False,Normal,,60,80,50,40
217,ursaring,1.8,125.8,brown,upright,False,Normal,,90,130,75,55
218,slugma,0.7,35.0,red,squiggle,False,Fire,,40,40,40,20
219,magcargo,0.8,55.0,red,squiggle,False,Fire,Rock,60,50,120,30
220,swinub,0.4,6.5,brown,quadruped,False,Ice,Ground,50,50,40,50
221,piloswine,1.1,55.8,brown,quadruped,False,Ice,Ground,100,100,80,50
222,corsola,0.6,5.0,pink,armor,False,Water,Rock,65,55,95,35
223,remoraid,0.6,12.0,gray,fish,False,Water,,35,65,35,65
224,octillery,0.9,28.5,red,tentacles,False,Water,,75,105,75,45
225,delibird,0.9,16.0,red,wings,False,Ice,Flying,45,55,45,75
226,mantine,2.1,220.0,purple,wings,False,Water,Flying,85,40,70,70
227,skarmory,1.7,50.5,gray,wings,False,Steel,Flying,65,80,140,70
228,houndour,0.6,10.8,black,quadruped,False,Dark,Fire,45,60,30,65
229,houndoom,1.4,35.0,black,quadruped,False,Dark,Fire,75,90,50,95
230,kingdra,1.8,152.0,blue,blob,False,Water,Dragon,75,95,95,85
231,phanpy,0.5,33.5,blue,quadruped,False,Ground,,90,60,60,40
232,donphan,1.1,120.0,gray,quadruped,False,Ground,,90,120,120,50
233,porygon2,0.6,32.5,red,legs,False,Normal,,85,80,90,60
234,stantler,1.4,71.2,brown,quadruped,False,Normal,,73,95,62,85
235,smeargle,1.2,58.0,white,upright,False,Normal,,55,20,35,75
236,tyrogue,0.7,21.0,purple,humanoid,True,Fighting,,35,35,35,35
237,hitmontop,1.4,48.0,brown,upright,False,Fighting,,50,95,95,70
238,smoochum,0.4,6.0,pink,humanoid,True,Ice,Psychic,45,30,15,65
239,elekid,0.6,23.5,yellow,humanoid,True,Electric,,45,63,37,95
240,magby,0.7,21.4,red,upright,True,Fire,,45,75,37,83
241,miltank,1.2,75.5,pink,upright,False,Normal,,95,80,105,100
242,blissey,1.5,46.8,pink,humanoid,False,Normal,,255,10,10,55
243,raikou,1.9,178.0,yellow,quadruped,False,Electric,,90,85,75,115
244,entei,2.1,198.0,brown,quadruped,False,Fire,,115,115,85,100
245,suicune,2.0,187.0,blue,quadruped,False,Water,,100,75,115,85
246,larvitar,0.6,72.0,green,upright,False,Rock,Ground,50,64,50,41
247,pupitar,1.2,152.0,gray,squiggle,False,Rock,Ground,70,84,70,51
248,tyranitar,2.0,202.0,green,upright,False,Rock,Dark,100,134,110,61
249,lugia,5.2,216.0,white,wings,False,Psychic,Flying,106,90,130,110
250,ho-oh,3.8,199.0,red,wings,False,Fire,Flying,106,130,90,90
251,celebi,0.6,5.0,green,humanoid,False,Psychic,Grass,100,100,100,100
252,treecko,0.5,5.0,green,upright,False,Grass,,40,45,35,70
253,grovyle,0.9,21.6,green,upright,False,Grass,,50,65,45,95
254,sceptile,1.7,52.2,green,upright,False,Grass,,70,85,65,120
255,torchic,0.4,2.5,red,legs,False,Fire,,45,60,40,45
256,combusken,0.9,19.5,red,upright,False,Fire,Fighting,60,85,60,55
257,blaziken,1.9,52.0,red,upright,False,Fire,Fighting,80,120,70,80
258,mudkip,0.4,7.6,blue,quadruped,False,Water,,50,70,50,40
259,marshtomp,0.7,28.0,blue,upright,False,Water,Ground,70,85,70,50
260,swampert,1.5,81.9,blue,upright,False,Water,Ground,100,110,90,60
261,poochyena,0.5,13.6,gray,quadruped,False,Dark,,35,55,35,35
262,mightyena,1.0,37.0,gray,quadruped,False,Dark,,70,90,70,70
263,zigzagoon,0.4,17.5,brown,quadruped,False,Normal,,38,30,41,60
264,linoone,0.5,32.5,white,quadruped,False,Normal,,78,70,61,100
265,wurmple,0.3,3.6,red,armor,False,Bug,,45,45,35,20
266,silcoon,0.6,10.0,white,ball,False,Bug,,50,35,55,15
267,beautifly,1.0,28.4,yellow,bug-wings,False,Bug,Flying,60,70,50,65
268,cascoon,0.7,11.5,purple,ball,False,Bug,,50,35,55,15
269,dustox,1.2,31.6,green,bug-wings,False,Bug,Poison,60,50,70,65
270,lotad,0.5,2.6,green,armor,False,Water,Grass,40,30,30,30
271,lombre,1.2,32.5,green,humanoid,False,Water,Grass,60,50,50,50
272,ludicolo,1.5,55.0,green,humanoid,False,Water,Grass,80,70,70,70
273,seedot,0.5,4.0,brown,legs,False,Grass,,40,40,50,30
274,nuzleaf,1.0,28.0,brown,humanoid,False,Grass,Dark,70,70,40,60
275,shiftry,1.3,59.6,brown,humanoid,False,Grass,Dark,90,100,60,80
276,taillow,0.3,2.3,blue,wings,False,Normal,Flying,40,55,30,85
277,swellow,0.7,19.8,blue,wings,False,Normal,Flying,60,85,60,125
278,wingull,0.6,9.5,white,wings,False,Water,Flying,40,30,30,85
279,pelipper,1.2,28.0,yellow,wings,False,Water,Flying,60,50,100,65
280,ralts,0.4,6.6,white,humanoid,False,Psychic,Fairy,28,25,25,40
281,kirlia,0.8,20.2,white,humanoid,False,Psychic,Fairy,38,35,35,50
282,gardevoir,1.6,48.4,white,humanoid,False,Psychic,Fairy,68,65,65,80
283,surskit,0.5,1.7,blue,armor,False,Bug,Water,40,30,32,65
284,masquerain,0.8,3.6,blue,bug-wings,False,Bug,Flying,70,60,62,80
285,shroomish,0.4,4.5,brown,legs,False,Grass,,60,40,60,35
286,breloom,1.2,39.2,green,upright,False,Grass,Fighting,60,130,80,70
287,slakoth,0.8,24.0,brown,quadruped,False,Normal,,60,60,60,30
288,vigoroth,1.4,46.5,white,upright,False,Normal,,80,80,80,90
289,slaking,2.0,130.5,brown,humanoid,False,Normal,,150,160,100,100
290,nincada,0.5,5.5,gray,armor,False,Bug,Ground,31,45,90,40
291,ninjask,0.8,12.0,yellow,bug-wings,False,Bug,Flying,61,90,45,160
292,shedinja,0.8,1.2,brown,blob,False,Bug,Ghost,1,90,45,40
293,whismur,0.6,16.3,pink,upright,False,Normal,,64,51,23,28
294,loudred,1.0,40.5,blue,upright,False,Normal,,84,71,43,48
295,exploud,1.5,84.0,blue,upright,False,Normal,,104,91,63,68
296,makuhita,1.0,86.4,yellow,humanoid,False,Fighting,,72,60,30,25
297,hariyama,2.3,253.8,brown,humanoid,False,Fighting,,144,120,60,50
298,azurill,0.2,2.0,blue,legs,True,Normal,Fairy,50,20,40,20
299,nosepass,1.0,97.0,gray,humanoid,False,Rock,,30,45,135,30
300,skitty,0.6,11.0,pink,quadruped,False,Normal,,50,45,45,50
301,delcatty,1.1,32.6,purple,quadruped,False,Normal,,70,65,65,90
302,sableye,0.5,11.0,purple,humanoid,False,Dark,Ghost,50,75,75,50
303,mawile,0.6,11.5,black,humanoid,False,Steel,Fairy,50,85,85,50
304,aron,0.4,60.0,gray,quadruped,False,Steel,Rock,50,70,100,30
305,lairon,0.9,120.0,gray,quadruped,False,Steel,Rock,60,90,140,40
306,aggron,2.1,360.0,gray,upright,False,Steel,Rock,70,110,180,50
307,meditite,0.6,11.2,blue,humanoid,False,Fighting,Psychic,30,40,55,60
308,medicham,1.3,31.5,red,humanoid,False,Fighting,Psychic,60,60,75,80
309,electrike,0.6,15.2,green,quadruped,False,Electric,,40,45,40,65
310,manectric,1.5,40.2,yellow,quadruped,False,Electric,,70,75,60,105
311,plusle,0.4,4.2,yellow,upright,False,Electric,,60,50,40,95
312,minun,0.4,4.2,yellow,upright,False,Electric,,60,40,50,95
313,volbeat,0.7,17.7,gray,upright,False,Bug,,65,73,75,85
314,illumise,0.6,17.7,purple,humanoid,False,Bug,,65,47,75,85
315,roselia,0.3,2.0,green,humanoid,False,Grass,Poison,50,60,45,65
316,gulpin,0.4,10.3,green,arms,False,Poison,,70,43,53,40
317,swalot,1.7,80.0,purple,arms,False,Poison,,100,73,83,55
318,carvanha,0.8,20.8,red,fish,False,Water,Dark,45,90,20,65
319,sharpedo,1.8,88.8,blue,fish,False,Water,Dark,70,120,40,95
320,wailmer,2.0,130.0,blue,fish,False,Water,,130,70,35,60
321,wailord,14.5,398.0,blue,fish,False,Water,,170,90,45,60
322,numel,0.7,24.0,yellow,quadruped,False,Fire,Ground,60,60,40,35
323,camerupt,1.9,220.0,red,quadruped,False,Fire,Ground,70,100,70,40
324,torkoal,0.5,80.4,brown,quadruped,False,Fire,,70,85,140,20
325,spoink,0.7,30.6,black,arms,False,Psychic,,60,25,35,60
326,grumpig,0.9,71.5,purple,upright,False,Psychic,,80,45,65,80
327,spinda,1.1,5.0,brown,upright,False,Normal,,60,60,60,60
328,trapinch,0.7,15.0,brown,armor,False,Ground,,45,100,45,10
329,vibrava,1.1,15.3,green,bug-wings,False,Ground,Dragon,50,70,50,70
330,flygon,2.0,82.0,green,wings,False,Ground,Dragon,80,100,80,100
331,cacnea,0.4,51.3,green,humanoid,False,Grass,,50,85,40,35
332,cacturne,1.3,77.4,green,humanoid,False,Grass,Dark,70,115,60,55
333,swablu,0.4,1.2,blue,wings,False,Normal,Flying,45,40,60,50
334,altaria,1.1,20.6,blue,wings,False,Dragon,Flying,75,70,90,80
335,zangoose,1.3,40.3,white,upright,False,Normal,,73,115,60,90
336,seviper,2.7,52.5,black,squiggle,False,Poison,,73,100,60,65
337,lunatone,1.0,168.0,yellow,ball,False,Rock,Psychic,90,55,65,70
338,solrock,1.2,154.0,red,ball,False,Rock,Psychic,90,95,85,70
339,barboach,0.4,1.9,gray,fish,False,Water,Ground,50,48,43,60
340,whiscash,0.9,23.6,blue,fish,False,Water,Ground,110,78,73,60
341,corphish,0.6,11.5,red,armor,False,Water,,43,80,65,35
342,crawdaunt,1.1,32.8,red,armor,False,Water,Dark,63,120,85,55
343,baltoy,0.5,21.5,brown,arms,False,Ground,Psychic,40,40,55,55
344,claydol,1.5,108.0,black,arms,False,Ground,Psychic,60,70,105,75
345,lileep,1.0,23.8,purple,blob,False,Rock,Grass,66,41,77,23
346,cradily,1.5,60.4,green,blob,False,Rock,Grass,86,81,97,43
347,anorith,0.7,12.5,gray,armor,False,Rock,Bug,45,95,50,75
348,armaldo,1.5,68.2,gray,upright,False,Rock,Bug,75,125,100,45
349,feebas,0.6,7.4,brown,fish,False,Water,,20,15,20,80
350,milotic,6.2,162.0,pink,squiggle,False,Water,,95,60,79,81
351,castform,0.3,0.8,gray,ball,False,Normal,,70,70,70,70
352,kecleon,1.0,22.0,green,upright,False,Normal,,60,90,70,40
353,shuppet,0.6,2.3,black,ball,False,Ghost,,44,75,35,45
354,banette,1.1,12.5,black,upright,False,Ghost,,64,115,65,65
355,duskull,0.8,15.0,black,arms,False,Ghost,,20,40,90,25
356,dusclops,1.6,30.6,black,humanoid,False,Ghost,,40,70,130,25
357,tropius,2.0,100.0,green,quadruped,False,Grass,Flying,99,68,83,51
358,chimecho,0.6,1.0,blue,arms,False,Psychic,,75,50,80,65
359,absol,1.2,47.0,white,quadruped,False,Dark,,65,130,60,75
360,wynaut,0.6,14.0,blue,upright,True,Psychic,,95,23,48,23
361,snorunt,0.7,16.8,gray,humanoid,False,Ice,,50,50,50,50
362,glalie,1.5,256.5,gray,ball,False,Ice,,80,80,80,80
363,spheal,0.8,39.5,blue,fish,False,Ice,Water,70,40,50,25
364,sealeo,1.1,87.6,blue,fish,False,Ice,Water,90,60,70,45
365,walrein,1.4,150.6,blue,quadruped,False,Ice,Water,110,80,90,65
366,clamperl,0.4,52.5,blue,ball,False,Water,,35,64,85,32
367,huntail,1.7,27.0,blue,squiggle,False,Water,,55,104,105,52
368,gorebyss,1.8,22.6,pink,squiggle,False,Water,,55,84,105,52
